NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20,917,13,924,924,11.088517,0.059884,924,0,261,49,0,30,2,1,optimal,DONE
10teams.mps.gz,20,917,13,924,924,11.186637,0.058812,924,0,261,49,0,30,4,1,optimal,DONE
10teams.mps.gz,20,917,13,924,924,11.044666,0.059487,924,0,261,49,0,30,8,1,optimal,DONE
10teams.mps.gz,20,917,13,924,924,10.835616,0.05691,924,0,261,49,0,30,16,1,optimal,DONE
10teams.mps.gz,20,917,13,924,924,10.833424,0.057062,924,0,261,49,0,30,32,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.532436,0.041281,21477,0,3167,6,0,1,2,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.531652,0.041453,21477,0,3167,6,0,1,4,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.545642,0.041521,21477,0,3167,6,0,1,8,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.539917,0.041554,21477,0,3167,6,0,1,16,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.530001,0.042181,21477,0,3167,6,0,1,32,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,5.59196,0.033315,8090,0,4400,145,0,576,2,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,5.505717,0.029309,8090,0,4400,145,0,576,4,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,5.447639,0.030196,8090,0,4400,145,0,576,8,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,5.5125,0.030787,8090,0,4400,145,0,576,16,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,5.579035,0.029894,8090,0,4400,145,0,576,32,1,optimal,DONE
2club200v15p5scn.mps.gz,-200,-119.3125,26,-116.748011,-62,18000.00059,0.871937,-62,0.623655914,161472,34840,0,290177,2,1,timelimit,DONE
2club200v15p5scn.mps.gz,-200,-119.3125,26,-116.748011,-62,18000.00046,0.772034,-62,0.620967742,174542,38443,0,309345,4,1,timelimit,DONE
2club200v15p5scn.mps.gz,-200,-119.3125,26,-116.748011,-62,18000.00121,0.769886,-62,0.620967742,174090,38302,0,307483,8,1,timelimit,DONE
2club200v15p5scn.mps.gz,-200,-119.3125,26,-116.748011,-62,18000.00076,0.771352,-62,0.620967742,174422,38387,0,308430,16,1,timelimit,DONE
2club200v15p5scn.mps.gz,-200,-119.3125,26,-116.748011,-62,18000.00104,0.768783,-62,0.621816638,168610,36829,0,299915,32,1,timelimit,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,282.391689,1.642543,9,0,12402,101,0,46,2,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,282.723847,1.641649,9,0,12402,101,0,46,4,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,282.933251,1.634581,9,0,12402,101,0,46,8,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,282.130789,1.62669,9,0,12402,101,0,46,16,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,283.089399,1.64678,9,0,12402,101,0,46,32,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,770.172331,2.013457,3,0,13215,324,0,201,2,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,749.307169,1.838968,3,0,13215,324,0,201,4,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,735.801955,1.775626,3,0,13215,324,0,201,8,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,725.330345,1.736998,3,0,13215,324,0,201,16,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,739.378044,1.721114,3,0,13215,324,0,201,32,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,76.898436,1.853662,12,0,13035,153,0,1,2,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,76.915721,2.072584,12,0,13035,153,0,1,4,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,76.030644,1.978271,12,0,13035,153,0,1,8,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,76.330772,1.922278,12,0,13035,153,0,1,16,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,76.613195,1.93285,12,0,13035,153,0,1,32,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,152.822754,18.642701,302,0,16344,1105,0,1617,2,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,153.154792,18.542852,302,0,16344,1105,0,1617,4,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,153.636893,18.596833,302,0,16344,1105,0,1617,8,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,152.106887,18.647892,302,0,16344,1105,0,1617,16,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,150.433493,18.216487,302,0,16344,1105,0,1617,32,1,optimal,DONE
50v-10.mps.gz,2879.065687,3025.957689,107,3230.429023,3311.179984,18000.02012,0.067265,3311.179984,0.010432108,8237800,344657,0,1854495,2,1,timelimit,DONE
50v-10.mps.gz,2879.065687,3025.957689,107,3230.429023,3311.179984,18000.02103,0.065173,3311.179984,0.010192512,9318780,361682,0,2006363,4,1,timelimit,DONE
50v-10.mps.gz,2879.065687,3025.957689,107,3230.429023,3311.179984,18000.02142,0.055746,3311.179984,0.010001914,10284322,373917,0,2145752,8,1,timelimit,DONE
50v-10.mps.gz,2879.065687,3025.957689,107,3230.429023,3311.179984,18000.02068,0.056794,3311.179984,0.009745486,11744143,394316,0,2364748,16,1,timelimit,DONE
50v-10.mps.gz,2879.065687,3025.957689,107,3230.429023,3311.179984,18000.02087,0.051523,3311.179984,0.009863761,11160929,384905,0,2266384,32,1,timelimit,DONE
a1c1s1.mps.gz,-1022.049,3926.982101,85,10149.60212,11503.44413,16367.04258,0.199572,11503.44413,0,13013701,40762,0,453782,2,1,optimal,DONE
a1c1s1.mps.gz,-1022.049,3926.982101,85,10149.60212,11503.44413,15212.68521,0.195563,11503.44413,0,13013701,40762,0,453782,4,1,optimal,DONE
a1c1s1.mps.gz,-1022.049,3926.982101,85,10149.60212,11503.44413,15227.44148,0.171478,11503.44413,0,13013701,40762,0,453782,8,1,optimal,DONE
a1c1s1.mps.gz,-1022.049,3926.982101,85,10149.60212,11503.44413,15127.81876,0.182499,11503.44413,0,13013701,40762,0,453782,16,1,optimal,DONE
a1c1s1.mps.gz,-1022.049,3926.982101,85,10149.60212,11503.44413,14223.82217,0.168685,11503.44413,0,13013701,40762,0,453782,32,1,optimal,DONE
a2c1s1.mps.gz,-1317.4275,3652.878504,115,9997.347201,10889.13763,3893.424812,0.207122,10889.13763,0,2767471,29052,0,88008,2,1,optimal,DONE
a2c1s1.mps.gz,-1317.4275,3652.878504,115,9997.347201,10889.13763,3628.274504,0.192422,10889.13763,0,2767471,29052,0,88008,4,1,optimal,DONE
a2c1s1.mps.gz,-1317.4275,3652.878504,115,9997.347201,10889.13763,3751.219593,0.199089,10889.13763,0,2767471,29052,0,88008,8,1,optimal,DONE
a2c1s1.mps.gz,-1317.4275,3652.878504,115,9997.347201,10889.13763,3759.659104,0.1945,10889.13763,0,2767471,29052,0,88008,16,1,optimal,DONE
a2c1s1.mps.gz,-1317.4275,3652.878504,115,9997.347201,10889.13763,3576.765357,0.19982,10889.13763,0,2767471,29052,0,88008,32,1,optimal,DONE
ab51-40-100.mps.gz,-4.00E+12,0,0,-4.00E+12,-10420305975,739.497093,5.415112,-10420305975,0,10723,92,0,1316,2,1,optimal,DONE
ab51-40-100.mps.gz,-4.00E+12,0,0,-4.00E+12,-10420305975,726.540707,5.215009,-10420305975,0,10723,92,0,1316,4,1,optimal,DONE
ab51-40-100.mps.gz,-4.00E+12,0,0,-4.00E+12,-10420305975,708.971868,5.235364,-10420305975,0,10723,92,0,1316,8,1,optimal,DONE
ab51-40-100.mps.gz,-4.00E+12,0,0,-4.00E+12,-10420305975,697.520564,5.05358,-10420305975,0,10723,92,0,1316,16,1,optimal,DONE
ab51-40-100.mps.gz,-4.00E+12,0,0,-4.00E+12,-10420305975,714.29434,4.992449,-10420305975,0,10723,92,0,1316,32,1,optimal,DONE
ab67-40-100.mps.gz,-4.71E+12,-4.71E+12,1,-4.71E+12,-11186253442,304.893879,5.668267,-11186253442,0,10294,4,0,73,2,1,optimal,DONE
ab67-40-100.mps.gz,-4.71E+12,-4.71E+12,1,-4.71E+12,-11186253442,301.738099,5.684016,-11186253442,0,10294,4,0,73,4,1,optimal,DONE
ab67-40-100.mps.gz,-4.71E+12,-4.71E+12,1,-4.71E+12,-11186253442,299.802492,5.648921,-11186253442,0,10294,4,0,73,8,1,optimal,DONE
ab67-40-100.mps.gz,-4.71E+12,-4.71E+12,1,-4.71E+12,-11186253442,296.982204,5.612006,-11186253442,0,10294,4,0,73,16,1,optimal,DONE
ab67-40-100.mps.gz,-4.71E+12,-4.71E+12,1,-4.71E+12,-11186253442,297.626529,5.49978,-11186253442,0,10294,4,0,73,32,1,optimal,DONE
ab69-40-100.mps.gz,-4.64E+12,0,0,-4.64E+12,-11186281442,377.215624,5.423265,-11186281442,0,10119,1,0,89,2,1,optimal,DONE
ab69-40-100.mps.gz,-4.64E+12,0,0,-4.64E+12,-11186281442,373.277089,5.483254,-11186281442,0,10119,1,0,89,4,1,optimal,DONE
ab69-40-100.mps.gz,-4.64E+12,0,0,-4.64E+12,-11186281442,371.064123,5.469276,-11186281442,0,10119,1,0,89,8,1,optimal,DONE
ab69-40-100.mps.gz,-4.64E+12,0,0,-4.64E+12,-11186281442,371.891396,5.354296,-11186281442,0,10119,1,0,89,16,1,optimal,DONE
ab69-40-100.mps.gz,-4.64E+12,0,0,-4.64E+12,-11186281442,390.382048,5.666123,-11186281442,0,10119,1,0,89,32,1,optimal,DONE
ab71-20-100.mps.gz,-2.60E+12,-10885807587,2,-2.60E+12,-10420305975,196.447349,2.143928,-10420305975,0,5868,79,0,699,2,1,optimal,DONE
ab71-20-100.mps.gz,-2.60E+12,-10885807587,2,-2.60E+12,-10420305975,194.507646,2.122662,-10420305975,0,5868,79,0,699,4,1,optimal,DONE
ab71-20-100.mps.gz,-2.60E+12,-10885807587,2,-2.60E+12,-10420305975,191.695843,2.078573,-10420305975,0,5868,79,0,699,8,1,optimal,DONE
