NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,RANDOM SEED,CUT SETTING,STATUS,END
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,1433.227078,6.07508,-10420305975,0,10074,0,0,1000,2,0,optimal,DONE
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,1380.549791,5.628792,-10420305975,0,10074,0,0,1000,4,0,optimal,DONE
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,1372.457427,5.445626,-10420305975,0,10074,0,0,1000,8,0,optimal,DONE
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,1382.838789,5.482849,-10420305975,0,10074,0,0,1000,16,0,optimal,DONE
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,1367.630444,5.424686,-10420305975,0,10074,0,0,1000,32,0,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,0,0,-4.7064E+12,-11186253442,320.047576,6.138602,-11186253442,0,10289,0,0,75,2,0,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,0,0,-4.7064E+12,-11186253442,318.072704,5.824803,-11186253442,0,10289,0,0,75,4,0,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,0,0,-4.7064E+12,-11186253442,316.563104,5.763079,-11186253442,0,10289,0,0,75,8,0,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,0,0,-4.7064E+12,-11186253442,316.89357,5.831526,-11186253442,0,10289,0,0,75,16,0,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,0,0,-4.7064E+12,-11186253442,309.234174,5.82171,-11186253442,0,10289,0,0,75,32,0,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,430.574101,6.249402,-11186281442,0,10113,0,0,109,2,0,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,426.702801,5.877811,-11186281442,0,10113,0,0,109,4,0,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,426.223883,5.827412,-11186281442,0,10113,0,0,109,8,0,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,416.16441,5.752331,-11186281442,0,10113,0,0,109,16,0,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,412.922772,5.726187,-11186281442,0,10113,0,0,109,32,0,optimal,DONE
ab71-20-100.mps.gz,-2.59574E+12,0,0,-10885829151,-10420305975,197.559157,2.375794,-10420305975,0,5712,0,0,706,2,0,optimal,DONE
ab71-20-100.mps.gz,-2.59574E+12,0,0,-10885829151,-10420305975,195.182844,2.125696,-10420305975,0,5712,0,0,706,4,0,optimal,DONE
ab71-20-100.mps.gz,-2.59574E+12,0,0,-10885829151,-10420305975,194.955248,2.121856,-10420305975,0,5712,0,0,706,8,0,optimal,DONE
ab71-20-100.mps.gz,-2.59574E+12,0,0,-10885829151,-10420305975,194.492191,2.141751,-10420305975,0,5712,0,0,706,16,0,optimal,DONE
ab71-20-100.mps.gz,-2.59574E+12,0,0,-10885829151,-10420305975,194.103655,2.125639,-10420305975,0,5712,0,0,706,32,0,optimal,DONE
ab72-40-100.mps.gz,-4.57007E+12,0,0,-4.57007E+12,-11186620442,632.969728,6.097988,-11186620442,0,9879,0,0,152,2,0,optimal,DONE
ab72-40-100.mps.gz,-4.57007E+12,0,0,-4.57007E+12,-11186620442,628.387921,5.729802,-11186620442,0,9879,0,0,152,4,0,optimal,DONE
ab72-40-100.mps.gz,-4.57007E+12,0,0,-4.57007E+12,-11186620442,612.890322,5.735247,-11186620442,0,9879,0,0,152,8,0,optimal,DONE
ab72-40-100.mps.gz,-4.57007E+12,0,0,-4.57007E+12,-11186620442,601.287038,5.589385,-11186620442,0,9879,0,0,152,16,0,optimal,DONE
ab72-40-100.mps.gz,-4.57007E+12,0,0,-4.57007E+12,-11186620442,594.538187,5.426018,-11186620442,0,9879,0,0,152,32,0,optimal,DONE
academictimetablebig.mps.gz,404,0,0,425.4444444,405,18000.06148,20.575182,1.00E+20,1.00E+20,148338,0,0,124,2,0,timelimit,DONE
academictimetablebig.mps.gz,404,0,0,425.4444444,405,18000.07073,20.754167,1.00E+20,1.00E+20,148338,0,0,124,4,0,timelimit,DONE
academictimetablebig.mps.gz,404,0,0,425.4444444,405,18000.05218,20.719174,1.00E+20,1.00E+20,148338,0,0,124,8,0,timelimit,DONE
academictimetablebig.mps.gz,404,0,0,425.4444444,405,18000.04502,21.021067,1.00E+20,1.00E+20,148338,0,0,124,16,0,timelimit,DONE
academictimetablebig.mps.gz,404,0,0,425.4444444,405,18000.00944,20.825133,1.00E+20,1.00E+20,148338,0,0,124,32,0,timelimit,DONE
academictimetablesmall.mps.gz,0,0,0,0,0,18000.00152,24.077944,1.00E+20,1.00E+20,16917,0,0,3478,2,0,timelimit,DONE
academictimetablesmall.mps.gz,0,0,0,0,0,18000.00171,24.769969,1.00E+20,1.00E+20,16917,0,0,3458,4,0,timelimit,DONE
academictimetablesmall.mps.gz,0,0,0,0,0,18000.00242,24.752129,1.00E+20,1.00E+20,16917,0,0,3452,8,0,timelimit,DONE
academictimetablesmall.mps.gz,0,0,0,0,0,18000.00176,24.980465,1.00E+20,1.00E+20,16917,0,0,3442,16,0,timelimit,DONE
academictimetablesmall.mps.gz,0,0,0,0,0,18000.00266,24.042781,1.00E+20,1.00E+20,16917,0,0,3533,32,0,timelimit,DONE
acc-tight2.mps.gz,0,0,0,0,0,10.101768,0.09249,0,0,2520,0,0,80,2,0,optimal,DONE
acc-tight2.mps.gz,0,0,0,0,0,10.055227,0.089821,0,0,2520,0,0,80,4,0,optimal,DONE
acc-tight2.mps.gz,0,0,0,0,0,10.112808,0.091885,0,0,2520,0,0,80,8,0,optimal,DONE
acc-tight2.mps.gz,0,0,0,0,0,10.036712,0.094453,0,0,2520,0,0,80,16,0,optimal,DONE
acc-tight2.mps.gz,0,0,0,0,0,10.074923,0.093982,0,0,2520,0,0,80,32,0,optimal,DONE
acc-tight4.mps.gz,0,0,0,0,0,123.805579,0.801323,0,0,3186,0,0,674,2,0,optimal,DONE
acc-tight4.mps.gz,0,0,0,0,0,121.298898,0.804968,0,0,3186,0,0,674,4,0,optimal,DONE
acc-tight4.mps.gz,0,0,0,0,0,122.222218,0.787332,0,0,3186,0,0,674,8,0,optimal,DONE
acc-tight4.mps.gz,0,0,0,0,0,122.822847,0.798618,0,0,3186,0,0,674,16,0,optimal,DONE
acc-tight4.mps.gz,0,0,0,0,0,120.493432,0.781497,0,0,3186,0,0,674,32,0,optimal,DONE
acc-tight5.mps.gz,0,0,0,0,0,68.67993,1.533396,0,0,2298,0,0,713,2,0,optimal,DONE
acc-tight5.mps.gz,0,0,0,0,0,69.347271,1.526835,0,0,2298,0,0,713,4,0,optimal,DONE
acc-tight5.mps.gz,0,0,0,0,0,67.871493,1.540881,0,0,2298,0,0,713,8,0,optimal,DONE
acc-tight5.mps.gz,0,0,0,0,0,67.578311,1.485652,0,0,2298,0,0,713,16,0,optimal,DONE
acc-tight5.mps.gz,0,0,0,0,0,68.143873,1.480309,0,0,2298,0,0,713,32,0,optimal,DONE
adult-max5features.mps.gz,0.081316079,0,0,0.081316079,7841,18000.36262,7.225212,7841,81913.11664,32706,0,0,770,2,0,timelimit,DONE
adult-max5features.mps.gz,0.081316079,0,0,0.081316079,7841,18000.00374,6.528522,7841,81913.11664,32706,0,0,709,4,0,timelimit,DONE
adult-max5features.mps.gz,0.081316079,0,0,0.081316079,7841,18000.18425,6.690959,7841,81913.11664,32706,0,0,668,8,0,timelimit,DONE
adult-max5features.mps.gz,0.081316079,0,0,0.081316079,7841,18000.00398,6.755962,7841,81913.11664,32706,0,0,718,16,0,timelimit,DONE
adult-max5features.mps.gz,0.081316079,0,0,0.081316079,7841,18000.22881,6.612105,7841,81913.11664,32706,0,0,892,32,0,timelimit,DONE
aflow30a.mps.gz,-32161,0,0,983.1674253,1158,45.691287,0.086717,1158,0,824,0,0,42445,2,0,optimal,DONE
aflow30a.mps.gz,-32161,0,0,983.1674253,1158,46.194753,0.081055,1158,0,824,0,0,42445,4,0,optimal,DONE
aflow30a.mps.gz,-32161,0,0,983.1674253,1158,46.318155,0.083691,1158,0,824,0,0,42445,8,0,optimal,DONE
aflow30a.mps.gz,-32161,0,0,983.1674253,1158,45.444497,0.084774,1158,0,824,0,0,42445,16,0,optimal,DONE
aflow30a.mps.gz,-32161,0,0,983.1674253,1158,44.901157,0.079738,1158,0,824,0,0,42445,32,0,optimal,DONE
aflow40b.mps.gz,-66091,0,0,1005.664817,1168,10872.93032,0.269377,1168,0,2608,0,0,5221215,2,0,optimal,DONE
