,index,NAME,TIME W/ CUTS,CUTS OFF_FIRST ROUND,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
408,68,mas76.mps.gz,170.108295,61.1997742,326705.0,178175.0,0,0,0,0,61.1997742,178175.0,61.1997742,61.1997742,61.1997742,178175.0,178175.0,178175.0
409,69,shipschedule3shipsi.mps.gz,9.002111799999998,19.459356399999997,1.0,1.0,1,1,1,1,9.002111799999998,1.0,9.002111799999998,9.002111799999998,9.002111799999998,1.0,1.0,1.0
410,70,momentum2.mps.gz,10746.779116,18013.605632,279602.0,202273.2,1,1,1,1,10746.779116,202273.2,10746.779116,10746.779116,10746.779116,279602.0,279602.0,279602.0
411,71,mzzv42z.mps.gz,433.6505440000001,959.7758506,11.0,2656.0,1,1,1,1,433.6505440000001,11.0,433.6505440000001,433.6505440000001,433.6505440000001,11.0,11.0,11.0
412,72,glass-sc.mps.gz,4615.389930799999,4267.2173298,262210.0,256139.0,0,1,0,0,4267.2173298,256139.0,4267.2173298,4267.2173298,4615.389930799999,256139.0,256139.0,262210.0
413,73,sp98ar.mps.gz,15516.920478,18017.9252834,192153.0,593980.4,1,1,1,1,15516.920478,192153.0,15516.920478,15516.920478,15516.920478,192153.0,192153.0,192153.0
414,74,p0201.mps.gz,0.6999888000000001,0.47608880000000003,15.0,85.0,0,1,1,0,0.47608880000000003,15.0,0.6999888000000001,0.47608880000000003,0.6999888000000001,15.0,85.0,15.0
415,75,khb05250.mps.gz,0.3942582,1.2855834,1.0,1560.0,1,1,1,1,0.3942582,1.0,0.3942582,0.3942582,0.3942582,1.0,1.0,1.0
416,76,breastcancer-regularized.mps.gz,2652.1064588,3802.288983,1184081.0,2424498.0,0,1,1,1,2652.1064588,1184081.0,2652.1064588,3802.288983,2652.1064588,1184081.0,2424498.0,1184081.0
417,77,chromaticindex128-5.mps.gz,84.35063240000001,1199.5931506000002,1316.0,100314.0,1,1,1,1,84.35063240000001,1316.0,84.35063240000001,84.35063240000001,84.35063240000001,1316.0,1316.0,1316.0
418,78,drayage-100-23.mps.gz,9.016042,16.5793868,1.0,12.0,1,1,1,1,9.016042,1.0,9.016042,9.016042,9.016042,1.0,1.0,1.0
419,79,app2-2.mps.gz,1.4482384,0.4345224,1.0,1.0,0,1,1,0,0.4345224,1.0,1.4482384,0.4345224,1.4482384,1.0,1.0,1.0
420,80,bnatt400.mps.gz,249.47849820000002,130.8764506,4071.0,6778.0,1,1,1,0,130.8764506,4071.0,249.47849820000002,249.47849820000002,249.47849820000002,4071.0,4071.0,4071.0
421,81,mik-250-20-75-2.mps.gz,12.8847754,24.797749399999997,427.0,90650.0,1,1,1,1,12.8847754,427.0,12.8847754,12.8847754,12.8847754,427.0,427.0,427.0
422,82,30_70_45_095_100.mps.gz,743.9979688,75.2331896,201.0,1.0,1,1,1,0,75.2331896,1.0,743.9979688,743.9979688,743.9979688,201.0,201.0,201.0
423,83,neos-4322846-ryton.mps.gz,818.0665642,845.5963156,664.0,522.0,1,1,1,1,818.0665642,522.0,818.0665642,818.0665642,818.0665642,664.0,664.0,664.0
424,84,ran14x18-disj-8.mps.gz,1658.8036666,16537.955252,312024.0,14591597.0,1,1,1,1,1658.8036666,312024.0,1658.8036666,1658.8036666,1658.8036666,312024.0,312024.0,312024.0
425,85,gasprod2-2.mps.gz,814.3559945999999,3689.1574226000002,1250.0,6990.0,1,1,1,1,814.3559945999999,1250.0,814.3559945999999,814.3559945999999,814.3559945999999,1250.0,1250.0,1250.0
