,index,NAME,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
0,0,neos6.mps.gz,359.8024494,763.751253,3667.0,9640.0,1,1,1,1,359.8024494,3667.0,359.8024494,359.8024494,359.8024494,3667.0,3667.0,3667.0
1,1,air05.mps.gz,57.4061712,61.438767600000006,523.0,722.0,1,1,1,1,57.4061712,523.0,57.4061712,57.4061712,57.4061712,523.0,523.0,523.0
2,2,neos8.mps.gz,16.581154599999998,59.51473639999999,1.0,1.0,1,1,1,1,16.581154599999998,1.0,16.581154599999998,16.581154599999998,16.581154599999998,1.0,1.0,1.0
3,3,mine-166-5.mps.gz,50.7616488,13.1762304,2681.0,1228.0,0,0,0,0,13.1762304,1228.0,13.1762304,13.1762304,13.1762304,1228.0,1228.0,1228.0
4,4,acc-tight4.mps.gz,229.533662,127.5431862,1087.0,674.0,0,0,0,0,127.5431862,674.0,127.5431862,127.5431862,127.5431862,674.0,674.0,674.0
5,5,neos-885086.mps.gz,7184.3035036,201.9939446,263.0,36.0,1,0,0,0,201.9939446,36.0,201.9939446,7184.3035036,201.9939446,36.0,263.0,36.0
6,6,glass4.mps.gz,937.8782435999999,1189.7822425999998,652204.0,2576934.0,1,1,1,1,937.8782435999999,652204.0,937.8782435999999,937.8782435999999,937.8782435999999,652204.0,652204.0,652204.0
7,7,neos-5018451-chiese.mps.gz,1203.734945,2648.7554164000003,3511.0,4543.0,1,1,1,1,1203.734945,3511.0,1203.734945,1203.734945,1203.734945,3511.0,3511.0,3511.0
8,8,iis-glass-cov.mps.gz,789.9152172,554.645493,24361.0,25501.0,0,0,0,0,554.645493,24361.0,554.645493,554.645493,554.645493,25501.0,25501.0,25501.0
9,9,eilC76-2.mps.gz,2899.1750632,7402.5138484,7851.0,40399.0,1,1,1,1,2899.1750632,7851.0,2899.1750632,2899.1750632,2899.1750632,7851.0,7851.0,7851.0
10,10,dcmulti.mps.gz,2.3997976000000003,1.2492868,90.0,1425.0,0,0,0,0,1.2492868,90.0,1.2492868,1.2492868,1.2492868,1425.0,1425.0,1425.0
11,11,comp08-2idx.mps.gz,1227.0355282,18000.0141418,4218.0,442752.4,1,1,1,1,1227.0355282,4218.0,1227.0355282,1227.0355282,1227.0355282,4218.0,4218.0,4218.0
12,12,neos-5188808-nattai.mps.gz,2394.1862532,1853.7410636,11023.0,11213.0,1,0,0,0,1853.7410636,11023.0,1853.7410636,2394.1862532,1853.7410636,11213.0,11023.0,11213.0
13,13,prod2.mps.gz,125.5057832,86.52918159999999,67499.0,103438.0,0,0,0,0,86.52918159999999,67499.0,86.52918159999999,86.52918159999999,86.52918159999999,103438.0,103438.0,103438.0
14,14,neos-5129192-manaia.mps.gz,80.18978039999999,84.5276466,1.0,1.0,1,1,1,1,80.18978039999999,1.0,80.18978039999999,80.18978039999999,80.18978039999999,1.0,1.0,1.0
15,15,mzzv42z.mps.gz,461.63270680000005,1020.9844558000001,11.0,2656.0,1,1,1,1,461.63270680000005,11.0,461.63270680000005,461.63270680000005,461.63270680000005,11.0,11.0,11.0
16,16,ran14x18-disj-8.mps.gz,1780.004335,17468.8364746,312024.0,14591597.0,1,1,1,1,1780.004335,312024.0,1780.004335,1780.004335,1780.004335,312024.0,312024.0,312024.0
17,17,supportcase17.mps.gz,46.593206599999995,18.8842404,264.0,2388.0,0,0,0,0,18.8842404,264.0,18.8842404,18.8842404,18.8842404,2388.0,2388.0,2388.0
18,18,neos-824661.mps.gz,914.3543792,227.3285512,36.0,8.0,0,0,0,0,227.3285512,8.0,227.3285512,227.3285512,227.3285512,8.0,8.0,8.0
19,19,neos-4322846-ryton.mps.gz,1330.7143346,1029.8250534000001,664.0,522.0,0,0,0,0,1029.8250534000001,522.0,1029.8250534000001,1029.8250534000001,1029.8250534000001,522.0,522.0,522.0
20,20,supportcase40.mps.gz,1530.8577412,1594.7058236,8835.0,70894.0,1,1,1,1,1530.8577412,8835.0,1530.8577412,1530.8577412,1530.8577412,8835.0,8835.0,8835.0
21,21,qiu.mps.gz,66.11763140000001,41.186415,10652.0,9207.0,0,0,0,0,41.186415,9207.0,41.186415,41.186415,41.186415,9207.0,9207.0,9207.0
22,22,neos-3661949-lesse.mps.gz,0.20448479999999997,0.20910039999999994,1.0,1.0,1,1,1,1,0.20448479999999997,1.0,0.20448479999999997,0.20448479999999997,0.20448479999999997,1.0,1.0,1.0
23,23,core2536-691.mps.gz,382.0128684,1201.239939,893.0,1199.0,1,1,1,1,382.0128684,893.0,382.0128684,382.0128684,382.0128684,893.0,893.0,893.0
24,24,ab51-40-100.mps.gz,808.5358072,1519.3310086000001,1316.0,1000.0,1,1,1,1,808.5358072,1000.0,808.5358072,808.5358072,808.5358072,1316.0,1316.0,1316.0
25,25,ns1208400.mps.gz,248.5555066,111.05443419999999,567.0,136.0,0,0,0,0,111.05443419999999,136.0,111.05443419999999,111.05443419999999,111.05443419999999,136.0,136.0,136.0
26,26,n13-3.mps.gz,7.4866756,107.124042,185.0,24332.0,1,1,1,1,7.4866756,185.0,7.4866756,7.4866756,7.4866756,185.0,185.0,185.0
27,27,n3div36.mps.gz,12237.138276000001,18000.3562962,306128.0,132226.0,1,1,1,1,12237.138276000001,132226.0,12237.138276000001,12237.138276000001,12237.138276000001,306128.0,306128.0,306128.0
28,28,neos-4722843-widden.mps.gz,1514.4394574,2593.3102124,1048.0,18827.0,1,1,1,1,1514.4394574,1048.0,1514.4394574,1514.4394574,1514.4394574,1048.0,1048.0,1048.0
