NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20.0,0,0,917.0,924.0,11.865484,0.07940699999999999,924.0,0.0,210,0,0,276,0.083092,0,0,2,0,optimal,DONE
22433.mps.gz,21240.526170798898,0,0,21240.5261707989,21477.0,0.801551,0.061797,21477.0,0.0,396,0,0,5,0.059695,0,0,2,0,optimal,DONE
23588.mps.gz,7649.866133822501,0,0,7747.0,8090.0,2.220951,0.059032999999999995,8090.0,0.0,274,0,0,981,0.057656,0,0,2,0,optimal,DONE
30_70_45_05_100.mps.gz,-5336.0,0,0,8.100000000000364,9.0,235.367094,2.495895,9.0,0.0,12025,0,0,201,2.528752,0,0,2,0,optimal,DONE
30_70_45_095_100.mps.gz,-6132.0,0,0,3.0,3.0,57.014318,5.826887,3.0,0.0,12505,0,0,1,5.882442,0,0,2,0,optimal,DONE
30_70_45_095_98.mps.gz,-5967.0,0,0,11.5,12.0,28.407946,5.332487,12.0,0.0,12393,0,0,1,5.383697,0,0,2,0,optimal,DONE
30n20b8.mps.gz,107.09839101758216,0,0,151.0,302.0,145.014465,23.235758,302.0,0.0,1114,0,0,13632,23.200389,0,0,2,0,optimal,DONE
CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.097527,4.509679,256.0,0.024,26212,0,0,109961,4.440557,0,0,2,0,timelimit,DONE
Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.395415,2.4859109999999998,2673520.2113535767,0.0,4637,0,0,426,2.707835,0,0,2,0,optimal,DONE
ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1517.798452,6.897424,-10420305975.0,0.0,10074,0,0,1000,6.941959,0,0,2,0,optimal,DONE
ab67-40-100.mps.gz,-4706401663115.0,0,0,-4706401663115.0,-11186253442.0,319.565533,8.246554,-11186253442.0,0.0,10289,0,0,75,8.319822,0,0,2,0,optimal,DONE
ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,433.656303,8.045044,-11186281442.0,0.0,10113,0,0,109,8.108621,0,0,2,0,optimal,DONE
ab71-20-100.mps.gz,-2595744808603.0,0,0,-10885829151.151033,-10420305975.0,198.970254,2.388346,-10420305975.0,0.0,5712,0,0,706,2.407901,0,0,2,0,optimal,DONE
ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,672.023428,7.134339,-11186620442.0,0.0,9879,0,0,152,7.184064,0,0,2,0,optimal,DONE
acc-tight2.mps.gz,0,0,0,0,0.0,12.603905,0.111371,0.0,0.0,2520,0,0,80,0.118298,0,0,2,0,optimal,DONE
acc-tight4.mps.gz,0,0,0,0,0.0,126.881863,0.918333,0.0,0.0,3186,0,0,674,0.9260229999999999,0,0,2,0,optimal,DONE
acc-tight5.mps.gz,0,0,0,0,0.0,73.047392,1.733407,0.0,0.0,2298,0,0,713,1.740443,0,0,2,0,optimal,DONE
aflow30a.mps.gz,-32161.0,0,0,983.1674252633647,1158.0,49.320398,0.084531,1158.0,0.0,824,0,0,42445,0.073324,0,0,2,0,optimal,DONE
aflow40b.mps.gz,-66091.0,0,0,1005.6648165120569,1168.0,14599.242918,0.29756499999999997,1168.0,0.0,2608,0,0,5221215,0.277937,0,0,2,0,optimal,DONE
air03.mps.gz,-513715782.0,0,0,338864.25,340160.0,2.034634,1.010146,340160.0,0.0,212,0,0,1,0.826685,0,0,2,0,optimal,DONE
air04.mps.gz,-83210.0,0,0,55535.43638822428,56137.0,87.383561,6.322939,56137.0,0.0,600,0,0,499,6.350346,0,0,2,0,optimal,DONE
air05.mps.gz,-40465.0,0,0,25877.60926785141,26374.0,60.978103,0.628888,26374.0,0.0,342,0,0,722,0.658087,0,0,2,0,optimal,DONE
aligninq.mps.gz,2654.736802205333,0,0,2654.736802205333,2713.0,20.880211,0.11902299999999999,2713.0,0.0,708,0,0,343,0.097837,0,0,2,0,optimal,DONE
app1-1.mps.gz,-23.0,0,0,-3.993827853717325,-3.0,0.7847689999999999,0.465514,-3.0,0.0,2419,0,0,4,0.47822299999999995,0,0,2,0,optimal,DONE
app1-2.mps.gz,-266.0,0,0,-53.94147364434894,-41.0,409.957691,9.055946,-41.0,0.0,26555,0,0,11191,9.152699,0,0,2,0,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.44346599999999997,0.200949,19294.25,0.0,997,0,0,1,0.207064,0,0,2,0,optimal,DONE
app2-2.mps.gz,212040.35714285713,0,0,212040.35714285713,212040.5,0.38749999999999996,0.078294,212040.5,0.0,343,0,0,1,0.055666,0,0,2,0,optimal,DONE
app3.mps.gz,-31829377681.21209,0,0,5644070.732055664,5751714.328905106,1.603825,0.06944499999999999,5751714.328905106,0.0,724,0,0,98,0.069664,0,0,2,0,optimal,DONE
arki001.mps.gz,1273480.9000000001,0,0,7579621.852064488,7580813.0711281,3491.263686,0.12079,7580813.0711281,0.0,1383,0,0,1761208,0.11627399999999999,0,0,2,0,optimal,DONE
atlanta-ip.mps.gz,3.00157865668,0,0,81.29732492072435,91.00981807241001,18000.001744,2.144154,91.00981807241001,0.018829228136828795,37122,0,0,94248,1.961719,0,0,2,0,timelimit,DONE
australia-abs-cta.mps.gz,0,0,0,0,106.90466814283947,1811.071626,0.920041,106.90466814283907,0.0,7800,0,0,95605,0.6728449999999999,0,0,2,0,optimal,DONE
bab5.mps.gz,-1775422.122400002,0,0,-116856.28755000001,-106364.6041,18000.003273,5.715325,-106364.6041,0.00832756354893443,9400,0,0,293348,5.463294,0,0,2,0,timelimit,DONE
bc.mps.gz,4.289050631437719,0,0,4.289050631437719,6.999999999999999,18000.025654,5.498006,7.0,0.18063307461175984,3752,0,0,520171,5.312471,0,0,2,0,timelimit,DONE
bc1.mps.gz,2.1887763488011416,0,0,2.188776348801141,3.338362547646319,632.627081,3.720046,3.338362547646319,0.0,1337,0,0,17530,3.769449,0,0,2,0,optimal,DONE
beasleyC1.mps.gz,25.0,0,0,52.0,85.0,12.946845,0.04799,85.0,0.0,1166,0,0,1752,0.053922,0,0,2,0,optimal,DONE
beavma.mps.gz,128906.80000000002,0,0,310231.25895056385,383285.00000000006,8.968520999999999,0.048322,383285.00000000006,0.0,531,0,0,5697,0.037483999999999996,0,0,2,0,optimal,DONE
biella1.mps.gz,3060037.430763108,0,0,3060037.4307631077,3065005.7800000003,2244.840742,1.7358289999999998,3065005.7800000003,0.0,2133,0,0,10432,1.526017,0,0,2,0,optimal,DONE
bienst1.mps.gz,11.724137931034484,0,0,27.0,46.75,66.57989,0.019579,46.75,0.0,1040,0,0,11113,0.017884999999999998,0,0,2,0,optimal,DONE
bienst2.mps.gz,11.724137931034482,0,0,16.71428571428571,54.6,276.279612,0.024659999999999998,54.6,0.0,1040,0,0,102409,0.022494999999999998,0,0,2,0,optimal,DONE
binkar10_1.mps.gz,-16000599.24000705,0,0,6637.188026943215,6742.200023998971,6593.390197,0.082314,6742.200023998971,0.0,1619,0,0,4442017,0.068036,0,0,2,0,optimal,DONE
blend2.mps.gz,7.043999070402349,0,0,7.043999070402349,7.598985000000001,1.547647,0.049642,7.598985000000001,0.0,186,0,0,1041,0.05155,0,0,2,0,optimal,DONE
bley_xl1.mps.gz,80.0,0,0,177.24872565800993,190.0,58.689402,12.535546,190.0,0.0,8208,0,0,150,12.935728,0,0,2,0,optimal,DONE
blp-ir98.mps.gz,96.16916160000001,0,0,2276.9237984881634,2342.315488,1587.269821,0.9638329999999999,2342.315488,0.0,950,0,0,247091,0.50705,0,0,2,0,optimal,DONE
