,NAME,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
0,neos6.mps.gz,359.8024494,763.751253,3667.0,9640.0,1,1,1,1,359.8024494,3667.0,359.8024494,359.8024494,359.8024494,3667.0,3667.0,3667.0
1,air05.mps.gz,57.4061712,61.438767600000006,523.0,722.0,1,1,1,1,57.4061712,523.0,57.4061712,57.4061712,57.4061712,523.0,523.0,523.0
2,neos8.mps.gz,16.5811546,59.514736400000004,1.0,1.0,1,1,1,1,16.5811546,1.0,16.5811546,16.5811546,16.5811546,1.0,1.0,1.0
3,mine-166-5.mps.gz,50.761648799999996,13.1762304,2681.0,1228.0,0,0,0,0,13.1762304,1228.0,13.1762304,13.1762304,13.1762304,1228.0,1228.0,1228.0
4,acc-tight4.mps.gz,229.533662,127.5431862,1087.0,674.0,0,0,0,0,127.5431862,674.0,127.5431862,127.5431862,127.5431862,674.0,674.0,674.0
5,neos-885086.mps.gz,7184.3035036,201.99394460000002,263.0,36.0,1,0,0,0,201.99394460000002,36.0,201.99394460000002,7184.3035036,201.99394460000002,36.0,263.0,36.0
6,glass4.mps.gz,937.8782435999999,1189.7822425999998,652204.0,2576934.0,1,1,1,1,937.8782435999999,652204.0,937.8782435999999,937.8782435999999,937.8782435999999,652204.0,652204.0,652204.0
7,neos-5018451-chiese.mps.gz,1203.734945,2648.7554164000003,3511.0,4543.0,1,1,1,1,1203.734945,3511.0,1203.734945,1203.734945,1203.734945,3511.0,3511.0,3511.0
8,iis-glass-cov.mps.gz,789.9152172000001,554.645493,24361.0,25501.0,0,0,0,0,554.645493,24361.0,554.645493,554.645493,554.645493,25501.0,25501.0,25501.0
9,eilC76-2.mps.gz,2899.1750631999994,7402.513848400001,7851.0,40399.0,1,1,1,1,2899.1750631999994,7851.0,2899.1750631999994,2899.1750631999994,2899.1750631999994,7851.0,7851.0,7851.0
10,dcmulti.mps.gz,2.3997976,1.2492868,90.0,1425.0,0,0,0,0,1.2492868,90.0,1.2492868,1.2492868,1.2492868,1425.0,1425.0,1425.0
11,comp08-2idx.mps.gz,1227.0355282000003,18000.014141800002,4218.0,442752.4,1,1,1,1,1227.0355282000003,4218.0,1227.0355282000003,1227.0355282000003,1227.0355282000003,4218.0,4218.0,4218.0
12,neos-5188808-nattai.mps.gz,2394.1862532,1853.7410636,11023.0,11213.0,1,0,0,0,1853.7410636,11023.0,1853.7410636,2394.1862532,1853.7410636,11213.0,11023.0,11213.0
13,prod2.mps.gz,125.5057832,86.5291816,67499.0,103438.0,0,0,0,0,86.5291816,67499.0,86.5291816,86.5291816,86.5291816,103438.0,103438.0,103438.0
14,neos-5129192-manaia.mps.gz,80.1897804,84.5276466,1.0,1.0,1,1,1,1,80.1897804,1.0,80.1897804,80.1897804,80.1897804,1.0,1.0,1.0
15,mzzv42z.mps.gz,461.63270679999994,1020.9844558000001,11.0,2656.0,1,1,1,1,461.63270679999994,11.0,461.63270679999994,461.63270679999994,461.63270679999994,11.0,11.0,11.0
16,ran14x18-disj-8.mps.gz,1780.004335,17468.836474599997,312024.0,14591597.0,1,1,1,1,1780.004335,312024.0,1780.004335,1780.004335,1780.004335,312024.0,312024.0,312024.0
17,supportcase17.mps.gz,46.593206599999995,18.884240400000003,264.0,2388.0,0,0,0,0,18.884240400000003,264.0,18.884240400000003,18.884240400000003,18.884240400000003,2388.0,2388.0,2388.0
