NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20.0,0,0,917.0,924.0,11.912657,0.15295699999999998,924.0,0.0,210,0,0,276,0.15664799999999998,0,0,16,0,optimal,DONE
22433.mps.gz,21240.526170798898,0,0,21240.5261707989,21477.0,0.810962,0.071669,21477.0,0.0,396,0,0,5,0.069482,0,0,16,0,optimal,DONE
23588.mps.gz,7649.866133822501,0,0,7747.0,8090.0,2.202889,0.041062999999999995,8090.0,0.0,274,0,0,981,0.039617,0,0,16,0,optimal,DONE
30_70_45_05_100.mps.gz,-5336.0,0,0,8.100000000000364,9.0,254.466751,5.403392,9.0,0.0,12025,0,0,201,5.455734,0,0,16,0,optimal,DONE
30_70_45_095_100.mps.gz,-6132.0,0,0,3.0,3.0,57.55841,5.843084,3.0,0.0,12505,0,0,1,5.900406,0,0,16,0,optimal,DONE
30_70_45_095_98.mps.gz,-5967.0,0,0,11.5,12.0,28.514885,5.351463,12.0,0.0,12393,0,0,1,5.401974,0,0,16,0,optimal,DONE
30n20b8.mps.gz,107.09839101758216,0,0,151.0,302.0,142.425632,23.415459,302.0,0.0,1114,0,0,13632,23.379767,0,0,16,0,optimal,DONE
CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.320911,4.711521,256.0,0.024,26212,0,0,65053,4.645877,0,0,16,0,timelimit,DONE
Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.391066,2.5325699999999998,2673520.2113535767,0.0,4637,0,0,426,2.741837,0,0,16,0,optimal,DONE
ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1516.31076,7.594216,-10420305975.0,0.0,10074,0,0,1000,7.64308,0,0,16,0,optimal,DONE
ab67-40-100.mps.gz,-4706401663115.0,0,0,-4706401663115.0,-11186253442.0,319.202849,8.248749,-11186253442.0,0.0,10289,0,0,75,8.32324,0,0,16,0,optimal,DONE
ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,431.647723,7.34733,-11186281442.0,0.0,10113,0,0,109,7.396365,0,0,16,0,optimal,DONE
ab71-20-100.mps.gz,-2595744808603.0,0,0,-10885829151.151033,-10420305975.0,198.940419,2.401777,-10420305975.0,0.0,5712,0,0,706,2.420021,0,0,16,0,optimal,DONE
ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,670.029025,7.731678,-11186620442.0,0.0,9879,0,0,152,7.785289,0,0,16,0,optimal,DONE
acc-tight2.mps.gz,0,0,0,0,0.0,12.603468,0.111371,0.0,0.0,2520,0,0,80,0.11822999999999999,0,0,16,0,optimal,DONE
acc-tight4.mps.gz,0,0,0,0,0.0,128.20657,0.930842,0.0,0.0,3186,0,0,674,0.9389019999999999,0,0,16,0,optimal,DONE
acc-tight5.mps.gz,0,0,0,0,0.0,73.25869900000001,1.704472,0.0,0.0,2298,0,0,713,1.7117939999999998,0,0,16,0,optimal,DONE
aflow30a.mps.gz,-32161.0,0,0,983.1674252633647,1158.0,47.825651,0.088964,1158.0,0.0,824,0,0,42445,0.078303,0,0,16,0,optimal,DONE
aflow40b.mps.gz,-66091.0,0,0,1005.6648165120569,1168.0,14162.446422,0.299374,1168.0,0.0,2608,0,0,5221215,0.279289,0,0,16,0,optimal,DONE
