,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/ CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
87,f2gap40400.mps.gz,-84.0,20665.085006049278,5,20753.041329419782,20772.0,0.10309,20772.0,0.0,545,107,0,1,0.0133099999999999,0.02973,0.103016,4,1,optimal,DONE
87,f2gap40400.mps.gz,-84.0,20665.085006049278,5,20753.041329419782,20772.0,0.1028869999999999,20772.0,0.0,545,107,0,1,0.013127,0.0294329999999999,0.102826,8,1,optimal,DONE
87,f2gap40400.mps.gz,-84.0,20665.085006049278,5,20753.041329419782,20772.0,0.102862,20772.0,0.0,545,107,0,1,0.0146419999999999,0.030541,0.10281,16,1,optimal,DONE
87,f2gap40400.mps.gz,-84.0,20665.085006049278,5,20753.041329419782,20772.0,0.1046909999999999,20772.0,0.0,545,107,0,1,0.013531,0.0300719999999999,0.1046349999999999,2,1,optimal,DONE
88,f2gap801600.mps.gz,-311.0,86576.00913592617,8,86677.18618713462,86678.99997225266,1.189505,86679.0,0.0,1603,418,0,1,0.037369,0.112382,1.189448,32,1,optimal,DONE
88,f2gap801600.mps.gz,-311.0,86576.00913592617,8,86677.18618713462,86678.99997225266,1.180731,86679.0,0.0,1603,418,0,1,0.0365749999999999,0.112077,1.180665,4,1,optimal,DONE
88,f2gap801600.mps.gz,-311.0,86576.00913592617,8,86677.18618713462,86678.99997225266,1.220863,86679.0,0.0,1603,418,0,1,0.0363529999999999,0.115024,1.2208,16,1,optimal,DONE
88,f2gap801600.mps.gz,-311.0,86576.00913592617,8,86677.18618713462,86678.99997225266,1.180731,86679.0,0.0,1603,418,0,1,0.0365739999999999,0.112077,1.180665,8,1,optimal,DONE
88,f2gap801600.mps.gz,-311.0,86576.00913592617,8,86677.18618713462,86678.99997225266,1.198108,86679.0,0.0,1603,418,0,1,0.039103,0.11605,1.198051,2,1,optimal,DONE
89,fast0507.mps.gz,16.0,172.21798513886708,2,172.22126474059093,174.0,348.887797,174.0,0.0,784,44,0,708,2.821392,9.671502,26.886431,2,1,optimal,DONE
89,fast0507.mps.gz,16.0,172.21798513886708,2,172.22126474059093,174.0,351.927426,174.0,0.0,784,44,0,708,3.121857,9.602776,27.265521,4,1,optimal,DONE
89,fast0507.mps.gz,16.0,172.21798513886708,2,172.22126474059093,174.0,330.698778,174.0,0.0,784,44,0,708,3.117615,9.285481,25.979732,32,1,optimal,DONE
89,fast0507.mps.gz,16.0,172.21798513886708,2,172.22126474059093,174.0,361.06443,174.0,0.0,784,44,0,708,2.860552,9.474754,27.383168,16,1,optimal,DONE
89,fast0507.mps.gz,16.0,172.21798513886708,2,172.22126474059093,174.0,330.776224,174.0,0.0,784,44,0,708,3.331718,9.466238,26.263684,8,1,optimal,DONE
90,fastxgemm-n2r6s0t2.mps.gz,26.99999999999997,27.000000000000004,22,27.0,230.0,979.875292,230.0,0.0,228393,18952,0,127278,0.3210119999999999,0.5545209999999999,48.556533,2,1,optimal,DONE
90,fastxgemm-n2r6s0t2.mps.gz,26.99999999999997,27.000000000000004,22,27.0,230.0,948.838531,230.0,0.0,228393,18952,0,127278,0.3001379999999999,0.52964,47.716071,8,1,optimal,DONE
90,fastxgemm-n2r6s0t2.mps.gz,26.99999999999997,27.000000000000004,22,27.0,230.0,947.115161,230.0,0.0,228393,18952,0,127278,0.300137,0.529639,47.654823,4,1,optimal,DONE
90,fastxgemm-n2r6s0t2.mps.gz,26.99999999999997,27.000000000000004,22,27.0,230.0,939.411172,230.0,0.0,228393,18952,0,127278,0.296197,0.524392,47.411556,32,1,optimal,DONE
90,fastxgemm-n2r6s0t2.mps.gz,26.99999999999997,27.000000000000004,22,27.0,230.0,941.985274,230.0,0.0,228393,18952,0,127278,0.296197,0.524237,47.64322,16,1,optimal,DONE
91,fastxgemm-n2r7s4t1.mps.gz,27.0,27.0,14,27.0,42.0,1590.648403,42.0,0.0,355548,48083,0,187498,0.346887,0.609837,40.485482,4,1,optimal,DONE
91,fastxgemm-n2r7s4t1.mps.gz,27.0,27.0,14,27.0,42.0,1488.943559,42.0,0.0,355548,48083,0,187498,0.321897,0.561075,37.118024,16,1,optimal,DONE
91,fastxgemm-n2r7s4t1.mps.gz,27.0,27.0,14,27.0,42.0,1519.04776,42.0,0.0,355548,48083,0,187498,0.3477409999999999,0.6008399999999999,39.069915,2,1,optimal,DONE
91,fastxgemm-n2r7s4t1.mps.gz,27.0,27.0,14,27.0,42.0,1549.54187,42.0,0.0,355548,48083,0,187498,0.408562,0.6693359999999999,39.177727,8,1,optimal,DONE
91,fastxgemm-n2r7s4t1.mps.gz,27.0,27.0,14,27.0,42.0,1489.41032,42.0,0.0,355548,48083,0,187498,0.320966,0.5611039999999999,37.225217,32,1,optimal,DONE
92,fhnw-binpack4-48.mps.gz,0.0,0.0,11,0.0,0.0,86.492116,0.0,0.0,22016,5310,0,24649,0.462041,1.218456,3.980889,16,1,optimal,DONE
92,fhnw-binpack4-48.mps.gz,0.0,0.0,11,0.0,0.0,85.224229,0.0,0.0,22016,5310,0,24649,0.4476429999999999,1.175608,3.711774,2,1,optimal,DONE
92,fhnw-binpack4-48.mps.gz,0.0,0.0,11,0.0,0.0,85.49213,0.0,0.0,22016,5310,0,24649,0.447664,1.175608,3.724199,8,1,optimal,DONE
92,fhnw-binpack4-48.mps.gz,0.0,0.0,11,0.0,0.0,85.495703,0.0,0.0,22016,5310,0,24649,0.4476489999999999,1.179116,3.72372,4,1,optimal,DONE
92,fhnw-binpack4-48.mps.gz,0.0,0.0,11,0.0,0.0,83.841674,0.0,0.0,22016,5310,0,24649,0.4468419999999999,1.18304,3.864686,32,1,optimal,DONE
93,fiball.mps.gz,5.0,138.0,25,138.0,138.0,1124.902319,138.0,0.0,22792,1316,0,3495,7.043801,11.804079,1026.348527,32,1,optimal,DONE
93,fiball.mps.gz,5.0,138.0,25,138.0,138.0,1124.699645,138.0,0.0,22792,1316,0,3495,7.351259,12.134607,1026.158546,8,1,optimal,DONE
93,fiball.mps.gz,5.0,138.0,25,138.0,138.0,1131.155597,138.0,0.0,22792,1316,0,3495,7.053274,11.872315,1032.904325,16,1,optimal,DONE
93,fiball.mps.gz,5.0,138.0,25,138.0,138.0,1158.068248,138.0,0.0,22792,1316,0,3495,7.399848,12.163202,1057.847608,4,1,optimal,DONE
93,fiball.mps.gz,5.0,138.0,25,138.0,138.0,1149.603693,138.0,0.0,22792,1316,0,3495,7.393268,12.190984,1049.650824,2,1,optimal,DONE
94,fiber.mps.gz,58462.8,287395.183426704,85,405933.3273722474,405935.17999999993,1.845446,405935.17999999993,0.0,6402,30,0,1,0.028086,0.064224,1.845402,32,1,optimal,DONE
94,fiber.mps.gz,58462.8,287395.183426704,85,405933.3273722474,405935.17999999993,1.770706,405935.17999999993,0.0,6402,30,0,1,0.036946,0.0731209999999999,1.770644,8,1,optimal,DONE
94,fiber.mps.gz,58462.8,287395.183426704,85,405933.3273722474,405935.17999999993,1.821649,405935.17999999993,0.0,6402,30,0,1,0.029987,0.066649,1.821609,2,1,optimal,DONE
94,fiber.mps.gz,58462.8,287395.183426704,85,405933.3273722474,405935.17999999993,1.865375,405935.17999999993,0.0,6402,30,0,1,0.030022,0.0663089999999999,1.865334,16,1,optimal,DONE
94,fiber.mps.gz,58462.8,287395.183426704,85,405933.3273722474,405935.17999999993,1.821649,405935.17999999993,0.0,6402,30,0,1,0.029987,0.066649,1.821609,4,1,optimal,DONE
95,fjspeasy01i.mps.gz,216.0,217.0,71,240.0,253.0,340.181419,253.0,0.0,464807,1695,0,31,288.779867,297.540464,332.619666,8,1,optimal,DONE
95,fjspeasy01i.mps.gz,216.0,217.0,71,240.0,253.0,349.129583,253.0,0.0,464807,1695,0,31,300.072329,307.841518,341.682524,32,1,optimal,DONE
95,fjspeasy01i.mps.gz,216.0,217.0,71,240.0,253.0,340.791964,253.0,0.0,464807,1695,0,31,289.812565,298.945974,333.535031,4,1,optimal,DONE
95,fjspeasy01i.mps.gz,216.0,217.0,71,240.0,253.0,339.948942,253.0,0.0,464807,1695,0,31,288.623248,297.334726,332.42378,2,1,optimal,DONE
95,fjspeasy01i.mps.gz,216.0,217.0,71,240.0,253.0,353.888328,253.0,0.0,464807,1695,0,31,300.100131,308.738653,345.749981,16,1,optimal,DONE
96,flugpl.mps.gz,1018500.0,0.0,0,1167875.1663773148,1201500.0,0.026802,1201500.0,0.0,13,0,0,1,0.0053029999999999,0.0,0.0,16,1,optimal,DONE
96,flugpl.mps.gz,1018500.0,0.0,0,1167875.1663773148,1201500.0,0.0264359999999999,1201500.0,0.0,13,0,0,1,0.005273,0.0,0.0,8,1,optimal,DONE
96,flugpl.mps.gz,1018500.0,0.0,0,1167875.1663773148,1201500.0,0.026357,1201500.0,0.0,13,0,0,1,0.00519,0.0,0.0,32,1,optimal,DONE
96,flugpl.mps.gz,1018500.0,0.0,0,1167875.1663773148,1201500.0,0.028269,1201500.0,0.0,13,0,0,1,0.006423,0.0,0.0,4,1,optimal,DONE
96,flugpl.mps.gz,1018500.0,0.0,0,1167875.1663773148,1201500.0,0.02837,1201500.0,0.0,13,0,0,1,0.006581,0.0,0.0,2,1,optimal,DONE
97,gasprod1-2.mps.gz,-123584.2728712976,-2060.624016101996,58,721.7873897340614,983.040619922831,70.460111,983.040619922831,0.0,54748,5561,0,612,2.622743,5.149864,17.148296,16,1,optimal,DONE
97,gasprod1-2.mps.gz,-123584.2728712976,-2060.624016101996,58,721.7873897340614,983.040619922831,74.218676,983.040619922831,0.0,54748,5561,0,612,2.599355,5.01065,17.259862,8,1,optimal,DONE
97,gasprod1-2.mps.gz,-123584.2728712976,-2060.624016101996,58,721.7873897340614,983.040619922831,70.743338,983.040619922831,0.0,54748,5561,0,612,2.365061,4.670973,16.447035,2,1,optimal,DONE
97,gasprod1-2.mps.gz,-123584.2728712976,-2060.624016101996,58,721.7873897340614,983.040619922831,71.536346,983.040619922831,0.0,54748,5561,0,612,2.489104,4.957566,17.300332,32,1,optimal,DONE
97,gasprod1-2.mps.gz,-123584.2728712976,-2060.624016101996,58,721.7873897340614,983.040619922831,74.323892,983.040619922831,0.0,54748,5561,0,612,2.534301,4.955536,17.18459,4,1,optimal,DONE
98,gasprod1-3.mps.gz,-122678.76199836184,-246.4437217021477,37,2267.595714266601,2310.108984719074,62.120021,2310.108984719074,0.0,24616,3586,0,378,2.759288,6.675259,16.177305,32,1,optimal,DONE
98,gasprod1-3.mps.gz,-122678.76199836184,-246.4437217021477,37,2267.595714266601,2310.108984719074,58.961392,2310.108984719074,0.0,24616,3586,0,378,2.669125,6.374545,15.41324,8,1,optimal,DONE
98,gasprod1-3.mps.gz,-122678.76199836184,-246.4437217021477,37,2267.595714266601,2310.108984719074,62.112591,2310.108984719074,0.0,24616,3586,0,378,2.757266,6.66371,16.175595,16,1,optimal,DONE
98,gasprod1-3.mps.gz,-122678.76199836184,-246.4437217021477,37,2267.595714266601,2310.108984719074,58.857114,2310.108984719074,0.0,24616,3586,0,378,2.668144,6.366729,15.412882,4,1,optimal,DONE
98,gasprod1-3.mps.gz,-122678.76199836184,-246.4437217021477,37,2267.595714266601,2310.108984719074,58.394393,2310.108984719074,0.0,24616,3586,0,378,2.64269,6.314518,15.337527,2,1,optimal,DONE
99,gasprod2-1.mps.gz,508232.48325932526,1508215.5878505346,3,1508303.394537187,1628548.3099065754,3794.835631,1628548.3099065754,0.0,113142,8833,0,3032,3.210573,36.289838,98.277221,4,1,optimal,DONE
99,gasprod2-1.mps.gz,508232.48325932526,1508215.5878505346,3,1508303.394537187,1628548.3099065754,3581.713357,1628548.3099065754,0.0,113142,8833,0,3032,2.955664,35.472545,96.543714,8,1,optimal,DONE
99,gasprod2-1.mps.gz,508232.48325932526,1508215.5878505346,3,1508303.394537187,1628548.3099065754,3777.210578,1628548.3099065754,0.0,113142,8833,0,3032,3.23939,36.279813,98.070622,2,1,optimal,DONE
99,gasprod2-1.mps.gz,508232.48325932526,1508215.5878505346,3,1508303.394537187,1628548.3099065754,3711.91699,1628548.3099065754,0.0,113142,8833,0,3032,4.02542,40.3913,112.925092,16,1,optimal,DONE
99,gasprod2-1.mps.gz,508232.48325932526,1508215.5878505346,3,1508303.394537187,1628548.3099065754,3694.989026,1628548.3099065754,0.0,113142,8833,0,3032,3.99793,40.365317,112.421974,32,1,optimal,DONE
100,gasprod2-2.mps.gz,298722.3288687249,1330553.9175318717,30,1368322.8358361905,1375631.6634233275,985.226156,1375631.6634233275,0.0,36455,3138,0,1250,17.004373,112.522937,303.402865,4,1,optimal,DONE
100,gasprod2-2.mps.gz,298722.3288687249,1330553.9175318717,30,1368322.8358361905,1375631.6634233275,1182.990175,1375631.6634233275,0.0,36455,3138,0,1250,21.426631,132.392854,354.614044,2,1,optimal,DONE
100,gasprod2-2.mps.gz,298722.3288687249,1330553.9175318717,30,1368322.8358361905,1375631.6634233275,1001.179267,1375631.6634233275,0.0,36455,3138,0,1250,16.21858,111.121399,300.612887,32,1,optimal,DONE
100,gasprod2-2.mps.gz,298722.3288687249,1330553.9175318717,30,1368322.8358361905,1375631.6634233275,999.197272,1375631.6634233275,0.0,36455,3138,0,1250,16.224543,110.898978,300.175021,16,1,optimal,DONE
100,gasprod2-2.mps.gz,298722.3288687249,1330553.9175318717,30,1368322.8358361905,1375631.6634233275,978.071008,1375631.6634233275,0.0,36455,3138,0,1250,17.03564,111.76618,301.302939,8,1,optimal,DONE
101,gen-ip002.mps.gz,-4840.541961300889,-4839.79412821554,14,-4837.370894641831,-4783.733391599999,1714.723908,-4783.733391599999,0.0,72264,75,0,5859548,0.0090809999999999,0.021315,0.1283,32,1,optimal,DONE
101,gen-ip002.mps.gz,-4840.541961300889,-4839.79412821554,14,-4837.370894641831,-4783.733391599999,1730.184808,-4783.733391599999,0.0,72264,75,0,5859548,0.014353,0.0253749999999999,0.129749,4,1,optimal,DONE
101,gen-ip002.mps.gz,-4840.541961300889,-4839.79412821554,14,-4837.370894641831,-4783.733391599999,1753.626831,-4783.733391599999,0.0,72264,75,0,5859548,0.0089719999999999,0.0197719999999999,0.1232399999999999,2,1,optimal,DONE
101,gen-ip002.mps.gz,-4840.541961300889,-4839.79412821554,14,-4837.370894641831,-4783.733391599999,1801.526962,-4783.733391599999,0.0,72264,75,0,5859548,0.008003,0.019717,0.1301479999999999,16,1,optimal,DONE
101,gen-ip002.mps.gz,-4840.541961300889,-4839.79412821554,14,-4837.370894641831,-4783.733391599999,1730.522955,-4783.733391599999,0.0,72264,75,0,5859548,0.01478,0.0253749999999999,0.129749,8,1,optimal,DONE
102,gen-ip021.mps.gz,2327.842584488757,2328.0600616634742,23,2329.2831390553547,2361.4541951916,548.07799,2361.4541951916,0.0,19822,60,0,2101666,0.009667,0.017939,1.773797,8,1,optimal,DONE
102,gen-ip021.mps.gz,2327.842584488757,2328.0600616634742,23,2329.2831390553547,2361.4541951916,548.662481,2361.4541951916,0.0,19822,60,0,2101666,0.009825,0.017893,1.773677,2,1,optimal,DONE
102,gen-ip021.mps.gz,2327.842584488757,2328.0600616634742,23,2329.2831390553547,2361.4541951916,548.636193,2361.4541951916,0.0,19822,60,0,2101666,0.010039,0.018007,1.773786,16,1,optimal,DONE
102,gen-ip021.mps.gz,2327.842584488757,2328.0600616634742,23,2329.2831390553547,2361.4541951916,548.326106,2361.4541951916,0.0,19822,60,0,2101666,0.009667,0.017936,1.773804,4,1,optimal,DONE
102,gen-ip021.mps.gz,2327.842584488757,2328.0600616634742,23,2329.2831390553547,2361.4541951916,549.646516,2361.4541951916,0.0,19822,60,0,2101666,0.011894,0.020082,1.781025,32,1,optimal,DONE
103,gen-ip036.mps.gz,-52491.20486913999,-4631.760259111426,32,-4630.739836886037,-4606.6796098376,736.087632,-4606.6796098376,0.0,833,19,0,2144143,0.009608,0.022631,2.394741,32,1,optimal,DONE
103,gen-ip036.mps.gz,-52491.20486913999,-4631.760259111426,32,-4630.739836886037,-4606.6796098376,734.250417,-4606.6796098376,0.0,833,19,0,2144143,0.0094729999999999,0.022633,2.391038,8,1,optimal,DONE
103,gen-ip036.mps.gz,-52491.20486913999,-4631.760259111426,32,-4630.739836886037,-4606.6796098376,742.58835,-4606.6796098376,0.0,833,19,0,2144143,0.01065,0.023982,2.387122,2,1,optimal,DONE
103,gen-ip036.mps.gz,-52491.20486913999,-4631.760259111426,32,-4630.739836886037,-4606.6796098376,733.795749,-4606.6796098376,0.0,833,19,0,2144143,0.009873,0.022905,2.390941,16,1,optimal,DONE
103,gen-ip036.mps.gz,-52491.20486913999,-4631.760259111426,32,-4630.739836886037,-4606.6796098376,726.842273,-4606.6796098376,0.0,833,19,0,2144143,0.012731,0.026156,2.296706,4,1,optimal,DONE
104,gen-ip054.mps.gz,6765.209042593413,6766.249839710655,5,6767.637131189353,6840.9656417920005,1479.292154,6840.9656417920005,0.0,226736,179,0,5682228,0.010732,0.017161,1.419057,8,1,optimal,DONE
104,gen-ip054.mps.gz,6765.209042593413,6766.249839710655,5,6767.637131189353,6840.9656417920005,1478.873918,6840.9656417920005,0.0,226736,179,0,5682228,0.008367,0.0149539999999999,1.424675,16,1,optimal,DONE
104,gen-ip054.mps.gz,6765.209042593413,6766.249839710655,5,6767.637131189353,6840.9656417920005,1411.402051,6840.9656417920005,0.0,226736,179,0,5682228,0.006705,0.0134329999999999,1.41605,4,1,optimal,DONE
104,gen-ip054.mps.gz,6765.209042593413,6766.249839710655,5,6767.637131189353,6840.9656417920005,1478.532918,6840.9656417920005,0.0,226736,179,0,5682228,0.008848,0.0152019999999999,1.424633,32,1,optimal,DONE
104,gen-ip054.mps.gz,6765.209042593413,6766.249839710655,5,6767.637131189353,6840.9656417920005,1411.121018,6840.9656417920005,0.0,226736,179,0,5682228,0.0068639999999999,0.0134329999999999,1.416049,2,1,optimal,DONE
105,gen.mps.gz,68621.12467699999,112301.21996055162,5,112313.362718,112313.362718,0.05821,112313.362718,0.0,310,14,0,1,0.037085,0.0478069999999999,0.057911,32,1,optimal,DONE
105,gen.mps.gz,68621.12467699999,112301.21996055162,5,112313.362718,112313.362718,0.0542049999999999,112313.362718,0.0,310,14,0,1,0.032639,0.043286,0.0538929999999999,16,1,optimal,DONE
105,gen.mps.gz,68621.12467699999,112301.21996055162,5,112313.362718,112313.362718,0.053611,112313.362718,0.0,310,14,0,1,0.0310629999999999,0.042239,0.0532739999999999,2,1,optimal,DONE
105,gen.mps.gz,68621.12467699999,112301.21996055162,5,112313.362718,112313.362718,0.055742,112313.362718,0.0,310,14,0,1,0.034392,0.044821,0.055443,8,1,optimal,DONE
105,gen.mps.gz,68621.12467699999,112301.21996055162,5,112313.362718,112313.362718,0.0558059999999999,112313.362718,0.0,310,14,0,1,0.034237,0.044772,0.0555019999999999,4,1,optimal,DONE
106,gfd-schedulen55f2d50m30k3i.mps.gz,3.0,3.1436294765840245,30,4.0,14624.0,18005.31687,14624.0,3655.0,232614,13289,0,2788,3.03496,119.401726,11767.420595,16,1,timelimit,DONE
106,gfd-schedulen55f2d50m30k3i.mps.gz,3.0,3.1436294765840245,30,4.0,14624.0,18000.003115,14624.0,3655.0,229949,11148,0,2472,3.04903,123.102408,12063.71487,2,1,timelimit,DONE
106,gfd-schedulen55f2d50m30k3i.mps.gz,3.0,3.1436294765840245,30,4.0,14624.0,18002.6615,14624.0,3655.0,232614,13289,0,2788,3.022737,118.511072,11729.355112,8,1,timelimit,DONE
106,gfd-schedulen55f2d50m30k3i.mps.gz,3.0,3.1436294765840245,30,4.0,6.0,16941.976349,6.0,0.0,289890,30904,0,5998,2.698015,91.258485,11534.949016,32,1,optimal,DONE
106,gfd-schedulen55f2d50m30k3i.mps.gz,3.0,3.1436294765840245,30,4.0,14624.0,18007.408373,14624.0,3655.0,232614,13289,0,2788,3.023119,119.902523,11827.059818,4,1,timelimit,DONE
107,glass-sc.mps.gz,14.080295856534113,14.11371736848534,13,14.192618036180262,23.0,4425.449222,23.0,0.0,422881,4715,0,262210,0.2414369999999999,0.580283,25.641088,4,1,optimal,DONE
107,glass-sc.mps.gz,14.080295856534113,14.11371736848534,13,14.192618036180262,23.0,4493.751923,23.0,0.0,422881,4715,0,262210,0.2367739999999999,0.572882,25.739892,16,1,optimal,DONE
107,glass-sc.mps.gz,14.080295856534113,14.11371736848534,13,14.192618036180262,23.0,4490.678983,23.0,0.0,422881,4715,0,262210,0.234806,0.572099,25.680963,32,1,optimal,DONE
107,glass-sc.mps.gz,14.080295856534113,14.11371736848534,13,14.192618036180262,23.0,4552.307859,23.0,0.0,422881,4715,0,262210,0.240119,0.579627,25.78362,8,1,optimal,DONE
107,glass-sc.mps.gz,14.080295856534113,14.11371736848534,13,14.192618036180262,23.0,4647.881937,23.0,0.0,422881,4715,0,262210,0.2662609999999999,0.617418,25.819423,2,1,optimal,DONE
108,glass4.mps.gz,800002400.0,800002400.0,35,800004728.7412418,1200012599.9997327,950.708929,1200012599.9997327,0.0,2714115,249970,0,652204,0.0344649999999999,0.0739799999999999,9.133851,4,1,optimal,DONE
108,glass4.mps.gz,800002400.0,800002400.0,35,800004728.7412418,1200012599.9997327,912.643797,1200012599.9997327,0.0,2714115,249970,0,652204,0.031894,0.0705409999999999,8.890482,16,1,optimal,DONE
108,glass4.mps.gz,800002400.0,800002400.0,35,800004728.7412418,1200012599.9997327,950.708929,1200012599.9997327,0.0,2714115,249970,0,652204,0.0344649999999999,0.0739799999999999,9.133852,8,1,optimal,DONE
108,glass4.mps.gz,800002400.0,800002400.0,35,800004728.7412418,1200012599.9997327,961.664963,1200012599.9997327,0.0,2714115,249970,0,652204,0.03896,0.0802799999999999,9.525397,2,1,optimal,DONE
108,glass4.mps.gz,800002400.0,800002400.0,35,800004728.7412418,1200012599.9997327,913.6646,1200012599.9997327,0.0,2714115,249970,0,652204,0.031894,0.0705399999999999,8.890473,32,1,optimal,DONE
109,gr4x6.mps.gz,185.55,191.0003401360544,5,202.35,202.35,0.016586,202.35,0.0,125,15,0,1,0.009516,0.0117,0.016533,4,1,optimal,DONE
109,gr4x6.mps.gz,185.55,191.0003401360544,5,202.35,202.35,0.0142639999999999,202.35,0.0,125,15,0,1,0.007349,0.009398,0.014218,16,1,optimal,DONE
109,gr4x6.mps.gz,185.55,191.0003401360544,5,202.35,202.35,0.014011,202.35,0.0,125,15,0,1,0.00681,0.009096,0.0139519999999999,8,1,optimal,DONE
109,gr4x6.mps.gz,185.55,191.0003401360544,5,202.35,202.35,0.0200039999999999,202.35,0.0,125,15,0,1,0.013144,0.0153809999999999,0.0199519999999999,2,1,optimal,DONE
109,gr4x6.mps.gz,185.55,191.0003401360544,5,202.35,202.35,0.0180409999999999,202.35,0.0,125,15,0,1,0.011023,0.0131939999999999,0.017997,32,1,optimal,DONE
110,graph20-20-1rand.mps.gz,-13.0,-13.0,12,-13.0,-9.0,16.11005,-9.0,0.0,3705,345,0,629,0.3084159999999999,0.3726649999999999,2.064472,16,1,optimal,DONE
110,graph20-20-1rand.mps.gz,-13.0,-13.0,12,-13.0,-9.0,16.179618,-9.0,0.0,3705,345,0,629,0.306535,0.371422,2.063704,4,1,optimal,DONE
110,graph20-20-1rand.mps.gz,-13.0,-13.0,12,-13.0,-9.0,16.140147,-9.0,0.0,3705,345,0,629,0.3070549999999999,0.3716049999999999,2.061851,2,1,optimal,DONE
110,graph20-20-1rand.mps.gz,-13.0,-13.0,12,-13.0,-9.0,15.965361,-9.0,0.0,3705,345,0,629,0.306093,0.368826,2.056254,8,1,optimal,DONE
110,graph20-20-1rand.mps.gz,-13.0,-13.0,12,-13.0,-9.0,16.111711,-9.0,0.0,3705,345,0,629,0.308218,0.372455,2.064782,32,1,optimal,DONE
111,graphdraw-domain.mps.gz,-323.0,12672.0,26,12950.014802631578,19685.999999999975,1615.595841,19685.999999999975,0.0,4037028,285296,0,2008061,0.0371229999999999,0.0765909999999999,8.023405,16,1,optimal,DONE
111,graphdraw-domain.mps.gz,-323.0,12672.0,26,12950.014802631578,19685.999999999975,1600.244773,19685.999999999975,0.0,4037028,285296,0,2008061,0.034129,0.074569,8.176603,2,1,optimal,DONE
111,graphdraw-domain.mps.gz,-323.0,12672.0,26,12950.014802631578,19685.999999999975,1614.822586,19685.999999999975,0.0,4037028,285296,0,2008061,0.037079,0.076586,8.0233,8,1,optimal,DONE
111,graphdraw-domain.mps.gz,-323.0,12672.0,26,12950.014802631578,19685.999999999975,1498.754615,19685.999999999975,0.0,4037028,285296,0,2008061,0.0355329999999999,0.075026,7.917972,32,1,optimal,DONE
111,graphdraw-domain.mps.gz,-323.0,12672.0,26,12950.014802631578,19685.999999999975,1699.248374,19685.999999999975,0.0,4037028,285296,0,2008061,0.039457,0.079942,8.222641,4,1,optimal,DONE
112,graphdraw-gemcutter.mps.gz,-183.5,4310.0,49,4505.077504168727,7118.499999999999,127.815749,7118.499999999999,0.0,347204,26673,0,175780,0.023351,0.042824,6.832417,16,1,optimal,DONE
112,graphdraw-gemcutter.mps.gz,-183.5,4310.0,49,4505.077504168727,7118.499999999999,135.700683,7118.499999999999,0.0,347204,26673,0,175780,0.02351,0.0443249999999999,7.13808,4,1,optimal,DONE
112,graphdraw-gemcutter.mps.gz,-183.5,4310.0,49,4505.077504168727,7118.499999999999,121.508439,7118.499999999999,0.0,347204,26673,0,175780,0.0209789999999999,0.039582,6.216185,2,1,optimal,DONE
112,graphdraw-gemcutter.mps.gz,-183.5,4310.0,49,4505.077504168727,7118.499999999999,127.81575,7118.499999999999,0.0,347204,26673,0,175780,0.0226479999999999,0.042775,6.832418,8,1,optimal,DONE
112,graphdraw-gemcutter.mps.gz,-183.5,4310.0,49,4505.077504168727,7118.499999999999,128.950573,7118.499999999999,0.0,347204,26673,0,175780,0.025533,0.04544,6.540352,32,1,optimal,DONE
113,gt2.mps.gz,11908.0,20639.26298023938,3,21166.0,21166.0,0.0901319999999999,21166.0,0.0,51,10,0,5,0.0090289999999999,0.0273999999999999,0.052332,8,1,optimal,DONE
113,gt2.mps.gz,11908.0,20639.26298023938,3,21166.0,21166.0,0.084822,21166.0,0.0,51,10,0,5,0.010891,0.027738,0.05008,2,1,optimal,DONE
113,gt2.mps.gz,11908.0,20639.26298023938,3,21166.0,21166.0,0.093292,21166.0,0.0,51,10,0,5,0.013516,0.032124,0.056735,4,1,optimal,DONE
113,gt2.mps.gz,11908.0,20639.26298023938,3,21166.0,21166.0,0.0838599999999999,21166.0,0.0,51,10,0,5,0.010085,0.026687,0.048895,32,1,optimal,DONE
113,gt2.mps.gz,11908.0,20639.26298023938,3,21166.0,21166.0,0.0844419999999999,21166.0,0.0,51,10,0,5,0.008608,0.025915,0.048878,16,1,optimal,DONE
114,gus-sch.mps.gz,-3163.0,-1191.3215579710145,29,-1173.6692113030897,-1167.0,6.165986,-1167.0,0.0,1867,201,0,136,0.313042,0.470085,1.713313,2,1,optimal,DONE
114,gus-sch.mps.gz,-3163.0,-1191.3215579710145,29,-1173.6692113030897,-1167.0,6.762931,-1167.0,0.0,1867,201,0,136,0.373274,0.559059,1.940611,8,1,optimal,DONE
114,gus-sch.mps.gz,-3163.0,-1191.3215579710145,29,-1173.6692113030897,-1167.0,6.753985,-1167.0,0.0,1867,201,0,136,0.3731939999999999,0.558978,1.940161,16,1,optimal,DONE
114,gus-sch.mps.gz,-3163.0,-1191.3215579710145,29,-1173.6692113030897,-1167.0,6.747995,-1167.0,0.0,1867,201,0,136,0.3746609999999999,0.55906,1.937331,32,1,optimal,DONE
