,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/ CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
6,30n20b8.mps.gz,107.09839101758216,121.76599018734493,90,151.38060569174547,302.0,173.439038,302.0,0.0,16344,1105,0,1617,24.27928,26.174883,151.272503,4,1,optimal,DONE
7,CMS750_4.mps.gz,250.0,250.0,22,250.0,260.0,18000.191302,260.0,0.04,155394,1740,0,1,4.666569,5.567086,18000.190955,8,1,timelimit,DONE
7,CMS750_4.mps.gz,250.0,250.0,22,250.0,260.0,18000.257615,260.0,0.04,155394,1740,0,1,4.682262,5.571438,18000.257384,32,1,timelimit,DONE
7,CMS750_4.mps.gz,250.0,250.0,22,250.0,260.0,18000.231004,260.0,0.04,155394,1740,0,1,4.647939,5.54636,18000.230339,2,1,timelimit,DONE
7,CMS750_4.mps.gz,250.0,250.0,22,250.0,260.0,18000.202311,260.0,0.04,155394,1740,0,1,4.663569,5.541036,18000.201941,16,1,timelimit,DONE
7,CMS750_4.mps.gz,250.0,250.0,22,250.0,260.0,18000.173077,260.0,0.04,155394,1740,0,1,4.683586,5.578362,18000.172598,4,1,timelimit,DONE
8,Test3.mps.gz,2241736.0000091013,2671192.2167286817,32,2673520.2113535767,2673520.2113535767,8.172038,2673520.2113535767,0.0,4993,9,0,1,2.829849,4.757535,8.171188,16,1,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,2671192.2167286817,32,2673520.2113535767,2673520.2113535767,8.169711,2673520.2113535767,0.0,4993,9,0,1,2.716853,4.674505,8.168855,8,1,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,2671192.2167286817,32,2673520.2113535767,2673520.2113535767,8.172098,2673520.2113535767,0.0,4993,9,0,1,2.756868,4.704393,8.17124,2,1,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,2671192.2167286817,32,2673520.2113535767,2673520.2113535767,8.169023,2673520.2113535767,0.0,4993,9,0,1,2.726845,4.677888,8.168169,4,1,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,2671192.2167286817,32,2673520.2113535767,2673520.2113535767,8.172219,2673520.2113535767,0.0,4993,9,0,1,2.845927,4.771423,8.171369,32,1,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0.0,0,-3998177155848.0,-10420305975.0,808.684581,-10420305975.0,0.0,10723,92,0,1316,8.228177,0.0,0.0,32,1,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0.0,0,-3998177155848.0,-10420305975.0,808.51286,-10420305975.0,0.0,10723,92,0,1316,8.208578,0.0,0.0,4,1,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0.0,0,-3998177155848.0,-10420305975.0,810.304308,-10420305975.0,0.0,10723,92,0,1316,8.214973,0.0,0.0,16,1,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0.0,0,-3998177155848.0,-10420305975.0,808.115688,-10420305975.0,0.0,10723,92,0,1316,8.222886,0.0,0.0,8,1,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0.0,0,-3998177155848.0,-10420305975.0,807.061599,-10420305975.0,0.0,10723,92,0,1316,7.624416,0.0,0.0,2,1,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,-4706401663115.0,1,-4706401663115.0,-11186253442.0,314.041278,-11186253442.0,0.0,10294,4,0,73,8.288267,19.256144,19.256144,2,1,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,-4706401663115.0,1,-4706401663115.0,-11186253442.0,313.978909,-11186253442.0,0.0,10294,4,0,73,8.232996,19.257622,19.257622,32,1,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,-4706401663115.0,1,-4706401663115.0,-11186253442.0,314.39939,-11186253442.0,0.0,10294,4,0,73,8.244561,19.266292,19.266292,16,1,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,-4706401663115.0,1,-4706401663115.0,-11186253442.0,314.149197,-11186253442.0,0.0,10294,4,0,73,8.329962,19.34436,19.34436,4,1,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,-4706401663115.0,1,-4706401663115.0,-11186253442.0,313.746639,-11186253442.0,0.0,10294,4,0,73,8.322062,19.323707,19.323707,8,1,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0.0,0,-4636145206664.0,-11186281442.0,398.494323,-11186281442.0,0.0,10119,1,0,89,7.395289,0.0,0.0,32,1,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0.0,0,-4636145206664.0,-11186281442.0,398.498496,-11186281442.0,0.0,10119,1,0,89,7.417519,0.0,0.0,16,1,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0.0,0,-4636145206664.0,-11186281442.0,398.307474,-11186281442.0,0.0,10119,1,0,89,7.395347,0.0,0.0,8,1,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0.0,0,-4636145206664.0,-11186281442.0,398.294842,-11186281442.0,0.0,10119,1,0,89,7.408452,0.0,0.0,4,1,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0.0,0,-4636145206664.0,-11186281442.0,398.358564,-11186281442.0,0.0,10119,1,0,89,7.370731,0.0,0.0,2,1,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,-10885807586.685564,2,-2595744808603.0,-10420305975.0,199.895148,-10420305975.0,0.0,5868,79,0,699,2.9328,6.262059,9.129634,32,1,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,-10885807586.685564,2,-2595744808603.0,-10420305975.0,198.902813,-10420305975.0,0.0,5868,79,0,699,2.42713,5.517511,8.068524,4,1,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,-10885807586.685564,2,-2595744808603.0,-10420305975.0,199.24043,-10420305975.0,0.0,5868,79,0,699,2.412452,5.491203,8.04395,8,1,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,-10885807586.685564,2,-2595744808603.0,-10420305975.0,199.22898,-10420305975.0,0.0,5868,79,0,699,2.419731,5.507191,8.054462,2,1,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,-10885807586.685564,2,-2595744808603.0,-10420305975.0,200.124283,-10420305975.0,0.0,5868,79,0,699,2.957495,6.282234,9.153571,16,1,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0.0,0,-4570070608537.0,-11186620442.0,670.539643,-11186620442.0,0.0,9879,0,0,152,7.778151,0.0,0.0,32,1,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0.0,0,-4570070608537.0,-11186620442.0,668.280274,-11186620442.0,0.0,9879,0,0,152,7.770161,0.0,0.0,8,1,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0.0,0,-4570070608537.0,-11186620442.0,668.880703,-11186620442.0,0.0,9879,0,0,152,7.669507,0.0,0.0,4,1,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0.0,0,-4570070608537.0,-11186620442.0,668.906042,-11186620442.0,0.0,9879,0,0,152,7.774789,0.0,0.0,16,1,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0.0,0,-4570070608537.0,-11186620442.0,668.970528,-11186620442.0,0.0,9879,0,0,152,7.794789,0.0,0.0,2,1,optimal,DONE
14,acc-tight2.mps.gz,0.0,0.0,11,0.0,0.0,19.542941,0.0,0.0,2713,126,0,7,0.1119179999999999,5.39534,17.787697,8,1,optimal,DONE
14,acc-tight2.mps.gz,0.0,0.0,11,0.0,0.0,19.540621,0.0,0.0,2713,126,0,7,0.11061,5.384242,17.781459,16,1,optimal,DONE
14,acc-tight2.mps.gz,0.0,0.0,11,0.0,0.0,19.533899,0.0,0.0,2713,126,0,7,0.1238799999999999,5.385821,17.766348,32,1,optimal,DONE
14,acc-tight2.mps.gz,0.0,0.0,11,0.0,0.0,19.503565,0.0,0.0,2713,126,0,7,0.123537,5.386614,17.742678,2,1,optimal,DONE
14,acc-tight2.mps.gz,0.0,0.0,11,0.0,0.0,19.568768,0.0,0.0,2713,126,0,7,0.111916,5.401347,17.809523,4,1,optimal,DONE
15,acc-tight4.mps.gz,0.0,0.0,11,0.0,0.0,229.577517,0.0,0.0,3803,217,0,1087,0.933332,11.645072,32.072036,32,1,optimal,DONE
15,acc-tight4.mps.gz,0.0,0.0,11,0.0,0.0,229.348614,0.0,0.0,3803,217,0,1087,0.935684,11.593893,32.014838,16,1,optimal,DONE
15,acc-tight4.mps.gz,0.0,0.0,11,0.0,0.0,230.371171,0.0,0.0,3803,217,0,1087,0.918236,11.833055,32.341376,4,1,optimal,DONE
15,acc-tight4.mps.gz,0.0,0.0,11,0.0,0.0,228.139796,0.0,0.0,3803,217,0,1087,0.942209,11.570904,32.028498,2,1,optimal,DONE
15,acc-tight4.mps.gz,0.0,0.0,11,0.0,0.0,230.231212,0.0,0.0,3803,217,0,1087,0.947229,11.882759,32.362124,8,1,optimal,DONE
16,acc-tight5.mps.gz,0.0,0.0,22,0.0,0.0,286.19433,0.0,0.0,12369,670,0,733,1.7403499999999998,5.189606,188.930014,32,1,optimal,DONE
16,acc-tight5.mps.gz,0.0,0.0,22,0.0,0.0,288.593801,0.0,0.0,12369,670,0,733,1.757043,5.064201,189.69261,2,1,optimal,DONE
16,acc-tight5.mps.gz,0.0,0.0,22,0.0,0.0,288.985797,0.0,0.0,12369,670,0,733,1.778172,5.101483,190.01003,8,1,optimal,DONE
16,acc-tight5.mps.gz,0.0,0.0,22,0.0,0.0,289.595246,0.0,0.0,12369,670,0,733,1.776736,5.09676,190.405279,16,1,optimal,DONE
16,acc-tight5.mps.gz,0.0,0.0,22,0.0,0.0,288.971058,0.0,0.0,12369,670,0,733,1.785175,5.0959,190.009303,4,1,optimal,DONE
17,aflow30a.mps.gz,-32161.0,1006.2110928412112,60,1103.8298423870674,1158.0,32.026787,1158.0,0.0,44341,3041,0,1923,0.0784779999999999,0.131131,11.564551,2,1,optimal,DONE
