NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20.0,0,0,917.0,924.0,12.023708,0.138937,924.0,0.0,210,0,0,276,0.142738,0,0,32,0,optimal,DONE
22433.mps.gz,21240.526170798898,0,0,21240.5261707989,21477.0,0.778063,0.042623999999999995,21477.0,0.0,396,0,0,5,0.040454,0,0,32,0,optimal,DONE
23588.mps.gz,7649.866133822501,0,0,7747.0,8090.0,2.199532,0.048822,8090.0,0.0,274,0,0,981,0.047332,0,0,32,0,optimal,DONE
30_70_45_05_100.mps.gz,-5336.0,0,0,8.100000000000364,9.0,255.579851,5.416703,9.0,0.0,12025,0,0,201,5.470915,0,0,32,0,optimal,DONE
30_70_45_095_100.mps.gz,-6132.0,0,0,3.0,3.0,55.740098,5.828133,3.0,0.0,12505,0,0,1,5.88269,0,0,32,0,optimal,DONE
30_70_45_095_98.mps.gz,-5967.0,0,0,11.5,12.0,28.514921,5.333003,12.0,0.0,12393,0,0,1,5.384647,0,0,32,0,optimal,DONE
30n20b8.mps.gz,107.09839101758216,0,0,151.0,302.0,174.176122,24.136957,302.0,0.0,1114,0,0,13632,24.089381,0,0,32,0,optimal,DONE
CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.323012,4.764962,256.0,0.024,26212,0,0,65053,4.673788,0,0,32,0,timelimit,DONE
Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,17.12197,2.504309,2673520.2113535767,0.0,4637,0,0,426,2.690899,0,0,32,0,optimal,DONE
ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1515.967321,7.563551,-10420305975.0,0.0,10074,0,0,1000,7.614611,0,0,32,0,optimal,DONE
ab67-40-100.mps.gz,-4706401663115.0,0,0,-4706401663115.0,-11186253442.0,318.055483,8.249011,-11186253442.0,0.0,10289,0,0,75,8.322054,0,0,32,0,optimal,DONE
ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,432.665037,7.395369,-11186281442.0,0.0,10113,0,0,109,7.444755,0,0,32,0,optimal,DONE
ab71-20-100.mps.gz,-2595744808603.0,0,0,-10885829151.151033,-10420305975.0,196.467938,2.398794,-10420305975.0,0.0,5712,0,0,706,2.420241,0,0,32,0,optimal,DONE
ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,669.226938,7.759472,-11186620442.0,0.0,9879,0,0,152,7.812496,0,0,32,0,optimal,DONE
acc-tight2.mps.gz,0,0,0,0,0.0,12.522082,0.11552699999999999,0.0,0.0,2520,0,0,80,0.122375,0,0,32,0,optimal,DONE
acc-tight4.mps.gz,0,0,0,0,0.0,128.12763,0.9343589999999999,0.0,0.0,3186,0,0,674,0.942079,0,0,32,0,optimal,DONE
acc-tight5.mps.gz,0,0,0,0,0.0,73.310378,1.750567,0.0,0.0,2298,0,0,713,1.757648,0,0,32,0,optimal,DONE
aflow30a.mps.gz,-32161.0,0,0,983.1674252633647,1158.0,47.928538,0.092411,1158.0,0.0,824,0,0,42445,0.08143099999999999,0,0,32,0,optimal,DONE
aflow40b.mps.gz,-66091.0,0,0,1005.6648165120569,1168.0,14192.499741,0.30527699999999997,1168.0,0.0,2608,0,0,5221215,0.28417,0,0,32,0,optimal,DONE
air03.mps.gz,-513715782.0,0,0,338864.25,340160.0,2.197523,1.100809,340160.0,0.0,212,0,0,1,0.905191,0,0,32,0,optimal,DONE
air04.mps.gz,-83210.0,0,0,55535.43638822428,56137.0,88.966186,7.939728,56137.0,0.0,600,0,0,499,7.967716,0,0,32,0,optimal,DONE
air05.mps.gz,-40465.0,0,0,25877.60926785141,26374.0,62.692771,0.751516,26374.0,0.0,342,0,0,722,0.7854979999999999,0,0,32,0,optimal,DONE
aligninq.mps.gz,2654.736802205333,0,0,2654.736802205333,2713.0,21.213395,0.114894,2713.0,0.0,708,0,0,343,0.094569,0,0,32,0,optimal,DONE
app1-1.mps.gz,-23.0,0,0,-3.993827853717325,-3.0,0.788069,0.46936,-3.0,0.0,2419,0,0,4,0.48236999999999997,0,0,32,0,optimal,DONE
app1-2.mps.gz,-266.0,0,0,-53.94147364434894,-41.0,540.376422,10.22902,-41.0,0.0,26555,0,0,11191,10.35514,0,0,32,0,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.478022,0.20629,19294.25,0.0,997,0,0,1,0.217307,0,0,32,0,optimal,DONE
app2-2.mps.gz,212040.35714285713,0,0,212040.35714285713,212040.5,0.36705,0.079984,212040.5,0.0,343,0,0,1,0.057463999999999994,0,0,32,0,optimal,DONE
app3.mps.gz,-31829377681.21209,0,0,5644070.732055664,5751714.328905106,1.67489,0.070168,5751714.328905106,0.0,724,0,0,98,0.069759,0,0,32,0,optimal,DONE
arki001.mps.gz,1273480.9000000001,0,0,7579621.852064488,7580813.0711281,3338.224716,0.121807,7580813.0711281,0.0,1383,0,0,1761208,0.11599599999999999,0,0,32,0,optimal,DONE
atlanta-ip.mps.gz,3.00157865668,0,0,81.29732492072435,91.00981807241001,18000.000319,2.692309,91.00981807241001,0.020546505242917467,37122,0,0,85784,2.487019,0,0,32,0,timelimit,DONE
australia-abs-cta.mps.gz,0,0,0,0,106.90466814283947,1667.525869,0.882621,106.90466814283907,0.0,7800,0,0,95605,0.6749189999999999,0,0,32,0,optimal,DONE
bab5.mps.gz,-1775422.122400002,0,0,-116856.28755000001,-106364.6041,18000.002605,6.453643,-106364.6041,0.00832756354893443,9400,0,0,294857,6.141521,0,0,32,0,timelimit,DONE
bc.mps.gz,4.289050631437719,0,0,4.289050631437719,6.999999999999999,17810.746112,5.230032,7.0,0.0,3752,0,0,523884,5.050025,0,0,32,0,optimal,DONE
bc1.mps.gz,2.1887763488011416,0,0,2.188776348801141,3.338362547646319,540.233924,3.482265,3.338362547646319,0.0,1337,0,0,17530,3.522784,0,0,32,0,optimal,DONE
beasleyC1.mps.gz,25.0,0,0,52.0,85.0,11.793887,0.048369999999999996,85.0,0.0,1166,0,0,1752,0.054363999999999996,0,0,32,0,optimal,DONE
beavma.mps.gz,128906.80000000002,0,0,310231.25895056385,383285.00000000006,8.612744,0.044788,383285.00000000006,0.0,531,0,0,5697,0.034504,0,0,32,0,optimal,DONE
biella1.mps.gz,3060037.430763108,0,0,3060037.4307631077,3065005.7800000003,2160.925422,1.7570649999999999,3065005.7800000003,0.0,2133,0,0,10432,1.567702,0,0,32,0,optimal,DONE
bienst1.mps.gz,11.724137931034484,0,0,27.0,46.75,69.645499,0.025120999999999997,46.75,0.0,1040,0,0,11113,0.023354999999999997,0,0,32,0,optimal,DONE
bienst2.mps.gz,11.724137931034482,0,0,16.71428571428571,54.6,282.756359,0.030910999999999998,54.6,0.0,1040,0,0,102409,0.029286,0,0,32,0,optimal,DONE
binkar10_1.mps.gz,-16000599.24000705,0,0,6637.188026943215,6742.200023998971,6451.85658,0.078938,6742.200023998971,0.0,1619,0,0,4442017,0.064626,0,0,32,0,optimal,DONE
blend2.mps.gz,7.043999070402349,0,0,7.043999070402349,7.598985000000001,1.371484,0.043537,7.598985000000001,0.0,186,0,0,1041,0.045016999999999995,0,0,32,0,optimal,DONE
bley_xl1.mps.gz,80.0,0,0,177.24872565800993,190.0,54.768975,10.00373,190.0,0.0,8208,0,0,150,10.294242,0,0,32,0,optimal,DONE
blp-ir98.mps.gz,96.16916160000001,0,0,2276.9237984881634,2342.315488,1712.084473,0.987097,2342.315488,0.0,950,0,0,247091,0.548786,0,0,32,0,optimal,DONE
bmocbd.mps.gz,-32041010095048.54,0,0,-32041010095048.54,-32041010095048.54,61.56156,10.279322,-32041010095048.54,0.0,0,0,0,1,0,0,0,32,0,optimal,DONE SOLVED THROUGH LP RELAXATION
bmocbd2.mps.gz,-31953009810551.355,0,0,-31953009810551.355,-31953009810551.355,65.064494,10.693486,-31953009810551.355,0.0,0,0,0,1,0,0,0,32,0,optimal,DONE SOLVED THROUGH LP RELAXATION
bnatt400.mps.gz,0,0,0,0,1.0,128.829098,0.694975,1.0,0.0,3895,0,0,6778,0.7077089999999999,0,0,32,0,optimal,DONE
bppc4-08.mps.gz,51.589999999999996,0,0,52.0,53.0,18000.000155,0.575561,53.0,0.019230769230769232,222,0,0,3422907,0.30230199999999996,0,0,32,0,timelimit,DONE
bppc8-02.mps.gz,36.0,0,0,487.0,507.0,0.156432,0.046195,507.0,0.0,102,0,0,177,0.039743,0,0,32,0,optimal,DONE
brazil3.mps.gz,1.9999999999999858,0,0,2.0,37.99999999999998,18000.000732,2.3132479999999997,37.99999999999998,17.999999999999854,2429,0,0,9511,2.399896,0,0,32,0,timelimit,DONE
breastcancer-regularized.mps.gz,0.10438504146670737,0,0,0.15354733907478413,35.767842105263156,5093.48116,0.156266,35.767842105263156,0.0,1440,0,0,2424498,0.132819,0,0,32,0,optimal,DONE
cap6000.mps.gz,-10950240.0,0,0,-2451537.3250240455,-2451377.0,2.07538,0.304491,-2451377.0,0.0,1760,0,0,1906,0.268455,0,0,32,0,optimal,DONE
