,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/O CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
6,30n20b8.mps.gz,107.09839101758214,0,0,151.0,302.0,145.014424,302.0,0.0,1114,0,0,13632,23.211753,0,0,4,0,optimal,DONE
6,30n20b8.mps.gz,107.09839101758214,0,0,151.0,302.0,145.014465,302.0,0.0,1114,0,0,13632,23.200389,0,0,2,0,optimal,DONE
6,30n20b8.mps.gz,107.09839101758214,0,0,151.0,302.0,146.88828600000002,302.0,0.0,1114,0,0,13632,23.280744,0,0,8,0,optimal,DONE
6,30n20b8.mps.gz,107.09839101758214,0,0,151.0,302.0,174.176122,302.0,0.0,1114,0,0,13632,24.089381,0,0,32,0,optimal,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.0044,256.0,0.024,26212,0,0,111202,4.459735,0,0,4,0,timelimit,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.097527,256.0,0.024,26212,0,0,109961,4.440557,0,0,2,0,timelimit,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.324686,256.0,0.024,26212,0,0,65053,4.66723,0,0,8,0,timelimit,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.323012,256.0,0.024,26212,0,0,65053,4.673788,0,0,32,0,timelimit,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.320911000003,256.0,0.024,26212,0,0,65053,4.645877,0,0,16,0,timelimit,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.395415,2673520.2113535767,0.0,4637,0,0,426,2.7078349999999998,0,0,2,0,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.391066,2673520.2113535767,0.0,4637,0,0,426,2.741837,0,0,16,0,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,17.12197,2673520.2113535767,0.0,4637,0,0,426,2.6908990000000004,0,0,32,0,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.428419,2673520.2113535767,0.0,4637,0,0,426,2.729699,0,0,8,0,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.214805,2673520.2113535767,0.0,4637,0,0,426,2.7086490000000003,0,0,4,0,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1531.32187,-10420305975.0,0.0,10074,0,0,1000,7.6192210000000005,0,0,8,0,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1516.31076,-10420305975.0,0.0,10074,0,0,1000,7.64308,0,0,16,0,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1515.967321,-10420305975.0,0.0,10074,0,0,1000,7.614611,0,0,32,0,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1517.798452,-10420305975.0,0.0,10074,0,0,1000,6.941959,0,0,2,0,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1515.25664,-10420305975.0,0.0,10074,0,0,1000,6.951339999999999,0,0,4,0,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,0,0,-4706401663115.0,-11186253442.0,318.441448,-11186253442.0,0.0,10289,0,0,75,8.324319000000001,0,0,8,0,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,0,0,-4706401663115.0,-11186253442.0,318.978649,-11186253442.0,0.0,10289,0,0,75,8.319381,0,0,4,0,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,0,0,-4706401663115.0,-11186253442.0,319.565533,-11186253442.0,0.0,10289,0,0,75,8.319822,0,0,2,0,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,0,0,-4706401663115.0,-11186253442.0,318.055483,-11186253442.0,0.0,10289,0,0,75,8.322054,0,0,32,0,optimal,DONE
10,ab67-40-100.mps.gz,-4706401663115.0,0,0,-4706401663115.0,-11186253442.0,319.202849,-11186253442.0,0.0,10289,0,0,75,8.32324,0,0,16,0,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,433.08342000000005,-11186281442.0,0.0,10113,0,0,109,8.095319,0,0,4,0,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,431.64772300000004,-11186281442.0,0.0,10113,0,0,109,7.396364999999999,0,0,16,0,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,433.276054,-11186281442.0,0.0,10113,0,0,109,7.361539,0,0,8,0,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,433.65630300000004,-11186281442.0,0.0,10113,0,0,109,8.108621000000001,0,0,2,0,optimal,DONE
11,ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,432.665037,-11186281442.0,0.0,10113,0,0,109,7.444755000000001,0,0,32,0,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,0,0,-10885829151.151031,-10420305975.0,198.942821,-10420305975.0,0.0,5712,0,0,706,2.411673,0,0,4,0,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,0,0,-10885829151.151031,-10420305975.0,198.96889,-10420305975.0,0.0,5712,0,0,706,2.400702,0,0,8,0,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,0,0,-10885829151.151031,-10420305975.0,198.940419,-10420305975.0,0.0,5712,0,0,706,2.4200209999999998,0,0,16,0,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,0,0,-10885829151.151031,-10420305975.0,196.46793799999998,-10420305975.0,0.0,5712,0,0,706,2.420241,0,0,32,0,optimal,DONE
12,ab71-20-100.mps.gz,-2595744808603.0,0,0,-10885829151.151031,-10420305975.0,198.970254,-10420305975.0,0.0,5712,0,0,706,2.407901,0,0,2,0,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,671.9684490000001,-11186620442.0,0.0,9879,0,0,152,7.191663,0,0,4,0,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,669.226938,-11186620442.0,0.0,9879,0,0,152,7.812496,0,0,32,0,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,672.0234280000001,-11186620442.0,0.0,9879,0,0,152,7.184064,0,0,2,0,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,669.832862,-11186620442.0,0.0,9879,0,0,152,7.794163,0,0,8,0,optimal,DONE
13,ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,670.029025,-11186620442.0,0.0,9879,0,0,152,7.785289,0,0,16,0,optimal,DONE
424,academictimetablebig.mps.gz,404.0,0,0,425.4444444444445,405.0,18000.011378,1e+20,1e+20,148338,0,0,50,22.093061,0,0,8,0,timelimit,DONE
423,academictimetablebig.mps.gz,404.0,0,0,425.4444444444445,405.0,18000.024741,1e+20,1e+20,148338,0,0,58,21.87561,0,0,2,0,timelimit,DONE
424,academictimetablebig.mps.gz,404.0,0,0,425.4444444444445,405.0,18000.01118,1e+20,1e+20,148338,0,0,50,26.794411,0,0,16,0,timelimit,DONE
425,academictimetablebig.mps.gz,404.0,0,0,425.4444444444445,405.0,18000.029088,1e+20,1e+20,148338,0,0,50,21.749935,0,0,4,0,timelimit,DONE
425,academictimetablebig.mps.gz,404.0,0,0,425.4444444444445,405.0,18000.011076,1e+20,1e+20,148338,0,0,50,27.035146,0,0,32,0,timelimit,DONE
425,academictimetablesmall.mps.gz,0.0,0,0,0.0,5.0,18000.002238999998,1e+20,1e+20,16917,0,0,2608,30.103933,0,0,8,0,timelimit,DONE
424,academictimetablesmall.mps.gz,0.0,0,0,0.0,0.0,18000.003682,1e+20,1e+20,16917,0,0,2646,27.484467,0,0,2,0,timelimit,DONE
425,academictimetablesmall.mps.gz,0.0,0,0,0.0,0.0,18000.005401,1e+20,1e+20,16917,0,0,2822,49.427171,0,0,16,0,timelimit,DONE
14,acc-tight2.mps.gz,0.0,0,0,0.0,0.0,12.603468,0.0,0.0,2520,0,0,80,0.11823,0,0,16,0,optimal,DONE
14,acc-tight2.mps.gz,0.0,0,0,0.0,0.0,12.600287,0.0,0.0,2520,0,0,80,0.11826,0,0,4,0,optimal,DONE
14,acc-tight2.mps.gz,0.0,0,0,0.0,0.0,12.603905000000001,0.0,0.0,2520,0,0,80,0.118298,0,0,2,0,optimal,DONE
14,acc-tight2.mps.gz,0.0,0,0,0.0,0.0,12.522082000000001,0.0,0.0,2520,0,0,80,0.122375,0,0,32,0,optimal,DONE
14,acc-tight2.mps.gz,0.0,0,0,0.0,0.0,12.59057,0.0,0.0,2520,0,0,80,0.11826,0,0,8,0,optimal,DONE
15,acc-tight4.mps.gz,0.0,0,0,0.0,0.0,126.881863,0.0,0.0,3186,0,0,674,0.926023,0,0,2,0,optimal,DONE
