,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/O CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
115,h80x6320.mps.gz,3700.0,0,0,3700.0,3700.0,2.261498,3700.0,0.0,0,0,0,1,0.0,0,0,4,0,optimal,DONE SOLVED THROUGH LP RELAXATION
115,h80x6320.mps.gz,3700.0,0,0,3700.0,3700.0,2.2764130000000002,3700.0,0.0,0,0,0,1,0.0,0,0,8,0,optimal,DONE SOLVED THROUGH LP RELAXATION
116,hypothyroid-k1.mps.gz,-2952.0,0,0,-2902.8525855769776,-2902.8525855769776,8.616814999999999,-2902.8525855769776,0.0,2906,0,0,1,23.706348000000002,0,0,2,0,optimal,DONE SOLVED THROUGH LP RELAXATION
116,hypothyroid-k1.mps.gz,-2952.0,0,0,-2902.8525855769776,-2902.8525855769776,8.471491,-2902.8525855769776,0.0,2906,0,0,1,24.928929999999998,0,0,8,0,optimal,DONE SOLVED THROUGH LP RELAXATION
116,hypothyroid-k1.mps.gz,-2952.0,0,0,-2902.8525855769776,-2902.8525855769776,8.54486,-2902.8525855769776,0.0,2906,0,0,1,24.985221,0,0,4,0,optimal,DONE SOLVED THROUGH LP RELAXATION
116,hypothyroid-k1.mps.gz,-2952.0,0,0,-2902.8525855769776,-2902.8525855769776,8.54872,-2902.8525855769776,0.0,2906,0,0,1,25.008725,0,0,16,0,optimal,DONE SOLVED THROUGH LP RELAXATION
116,hypothyroid-k1.mps.gz,-2952.0,0,0,-2902.8525855769776,-2902.8525855769776,8.747016,-2902.8525855769776,0.0,2906,0,0,1,25.035804000000002,0,0,32,0,optimal,DONE SOLVED THROUGH LP RELAXATION
117,ic97_tension.mps.gz,2606.0,0,0,3892.0,3942.0,38.283935,3942.0,0.0,408,0,0,83938,0.038363,0,0,32,0,optimal,DONE
117,ic97_tension.mps.gz,2606.0,0,0,3892.0,3942.0,38.283932,3942.0,0.0,408,0,0,83938,0.038362,0,0,16,0,optimal,DONE
117,ic97_tension.mps.gz,2606.0,0,0,3892.0,3942.0,42.31462,3942.0,0.0,408,0,0,83938,0.049471,0,0,4,0,optimal,DONE
117,ic97_tension.mps.gz,2606.0,0,0,3892.0,3942.0,40.261115000000004,3942.0,0.0,408,0,0,83938,0.046606,0,0,2,0,optimal,DONE
117,ic97_tension.mps.gz,2606.0,0,0,3892.0,3942.0,38.651663,3942.0,0.0,408,0,0,83938,0.052694000000000005,0,0,8,0,optimal,DONE
118,icir97_tension.mps.gz,6248.0,0,0,6303.0,6375.0,15232.739738,6375.0,0.0,1726,0,0,12716437,0.402797,0,0,4,0,optimal,DONE
118,icir97_tension.mps.gz,6248.0,0,0,6303.0,6375.0,15204.607338,6375.0,0.0,1726,0,0,12716437,0.392439,0,0,8,0,optimal,DONE
118,icir97_tension.mps.gz,6248.0,0,0,6303.0,6375.0,15222.108607,6375.0,0.0,1726,0,0,12716437,0.387351,0,0,16,0,optimal,DONE
118,icir97_tension.mps.gz,6248.0,0,0,6303.0,6375.0,17157.713938999997,6375.0,0.0,1726,0,0,12716437,0.398055,0,0,32,0,optimal,DONE
118,icir97_tension.mps.gz,6248.0,0,0,6303.0,6375.0,15246.6061,6375.0,0.0,1726,0,0,12716437,0.402797,0,0,2,0,optimal,DONE
119,iis-glass-cov.mps.gz,13.460608514719016,0,0,13.460608514719018,21.0,566.4664849999999,21.0,0.0,10750,0,0,25501,0.261406,0,0,4,0,optimal,DONE
119,iis-glass-cov.mps.gz,13.460608514719016,0,0,13.460608514719018,21.0,555.4390980000001,21.0,0.0,10750,0,0,25501,0.251231,0,0,32,0,optimal,DONE
119,iis-glass-cov.mps.gz,13.460608514719016,0,0,13.460608514719018,21.0,540.163149,21.0,0.0,10750,0,0,25501,0.22553,0,0,2,0,optimal,DONE
119,iis-glass-cov.mps.gz,13.460608514719016,0,0,13.460608514719018,21.0,556.658251,21.0,0.0,10750,0,0,25501,0.250715,0,0,8,0,optimal,DONE
119,iis-glass-cov.mps.gz,13.460608514719016,0,0,13.460608514719018,21.0,554.500482,21.0,0.0,10750,0,0,25501,0.250461,0,0,16,0,optimal,DONE
120,iis-hc-cov.mps.gz,9.517060774198477,0,0,9.517060774198493,17.0,2288.2342989999997,17.0,0.0,19448,0,0,76535,0.545351,0,0,16,0,optimal,DONE
120,iis-hc-cov.mps.gz,9.517060774198477,0,0,9.517060774198493,17.0,2293.494053,17.0,0.0,19448,0,0,76535,0.533471,0,0,4,0,optimal,DONE
120,iis-hc-cov.mps.gz,9.517060774198477,0,0,9.517060774198493,17.0,2281.2904329999997,17.0,0.0,19448,0,0,76535,0.561182,0,0,32,0,optimal,DONE
120,iis-hc-cov.mps.gz,9.517060774198477,0,0,9.517060774198493,17.0,2309.178107,17.0,0.0,19448,0,0,76535,0.553178,0,0,8,0,optimal,DONE
120,iis-hc-cov.mps.gz,9.517060774198477,0,0,9.517060774198493,17.0,2293.5316199999997,17.0,0.0,19448,0,0,76535,0.534783,0,0,2,0,optimal,DONE
121,irp.mps.gz,-8943293.133276382,0,0,12131.075205833331,12159.492835999996,17.072827,12159.492835999996,0.0,117,0,0,10,1.827545,0,0,32,0,optimal,DONE
121,irp.mps.gz,-8943293.133276382,0,0,12131.075205833331,12159.492835999996,17.927897,12159.492835999996,0.0,117,0,0,10,1.8304770000000001,0,0,2,0,optimal,DONE
121,irp.mps.gz,-8943293.133276382,0,0,12131.075205833331,12159.492835999996,17.529116000000002,12159.492835999996,0.0,117,0,0,10,1.7511880000000002,0,0,8,0,optimal,DONE
121,irp.mps.gz,-8943293.133276382,0,0,12131.075205833331,12159.492835999996,17.5269,12159.492835999996,0.0,117,0,0,10,1.7489819999999998,0,0,16,0,optimal,DONE
121,irp.mps.gz,-8943293.133276382,0,0,12131.075205833331,12159.492835999996,17.866472,12159.492835999996,0.0,117,0,0,10,1.817451,0,0,4,0,optimal,DONE
122,istanbul-no-cutoff.mps.gz,-3027.5614379769922,0,0,66.95965764528864,204.08174924146226,245.72038500000002,204.08174924146226,0.0,18613,0,0,1207,4.21623,0,0,8,0,optimal,DONE
122,istanbul-no-cutoff.mps.gz,-3027.5614379769922,0,0,66.95965764528864,204.08174924146226,254.20603799999998,204.08174924146226,0.0,18613,0,0,1207,4.137117,0,0,2,0,optimal,DONE
122,istanbul-no-cutoff.mps.gz,-3027.5614379769922,0,0,66.95965764528864,204.08174924146226,252.941486,204.08174924146226,0.0,18613,0,0,1207,4.363030999999999,0,0,16,0,optimal,DONE
122,istanbul-no-cutoff.mps.gz,-3027.5614379769922,0,0,66.95965764528864,204.08174924146226,245.255614,204.08174924146226,0.0,18613,0,0,1207,4.21623,0,0,4,0,optimal,DONE
122,istanbul-no-cutoff.mps.gz,-3027.5614379769922,0,0,66.95965764528864,204.08174924146226,252.941315,204.08174924146226,0.0,18613,0,0,1207,4.410522,0,0,32,0,optimal,DONE
123,k1mushroom.mps.gz,-4208.0,0,0,-4092.859678108002,-3288.0,2215.756016,-3288.0,0.0,10419,0,0,9,2108.1946390000003,0,0,4,0,optimal,DONE
123,k1mushroom.mps.gz,-4208.0,0,0,-4092.859678108002,-3288.0,2253.565796,-3288.0,0.0,10419,0,0,9,2134.849789,0,0,8,0,optimal,DONE
123,k1mushroom.mps.gz,-4208.0,0,0,-4092.859678108002,-3288.0,2447.179366,-3288.0,0.0,10419,0,0,9,2328.326645,0,0,16,0,optimal,DONE
123,k1mushroom.mps.gz,-4208.0,0,0,-4092.859678108002,-3288.0,1998.2462829999997,-3288.0,0.0,10419,0,0,9,1886.7765780000002,0,0,2,0,optimal,DONE
123,k1mushroom.mps.gz,-4208.0,0,0,-4092.859678108002,-3288.0,2436.645631,-3288.0,0.0,10419,0,0,9,2318.602993,0,0,32,0,optimal,DONE
124,khb05250.mps.gz,95919464.0,0,0,95919464.0,106940226.0,2.270582,106940226.0,0.0,100,0,0,1560,0.032048,0,0,2,0,optimal,DONE
124,khb05250.mps.gz,95919464.0,0,0,95919464.0,106940226.0,2.242973,106940226.0,0.0,100,0,0,1560,0.034254,0,0,16,0,optimal,DONE
124,khb05250.mps.gz,95919464.0,0,0,95919464.0,106940226.0,2.256437,106940226.0,0.0,100,0,0,1560,0.030166000000000002,0,0,4,0,optimal,DONE
124,khb05250.mps.gz,95919464.0,0,0,95919464.0,106940226.0,2.281489,106940226.0,0.0,100,0,0,1560,0.033831,0,0,8,0,optimal,DONE
124,khb05250.mps.gz,95919464.0,0,0,95919464.0,106940226.0,2.178623,106940226.0,0.0,100,0,0,1560,0.032239,0,0,32,0,optimal,DONE
125,l2p12.mps.gz,2.0,0,0,2.0,5.0,1453.310779,5.0,0.0,29955,0,0,99012,1.795354,0,0,2,0,optimal,DONE
125,l2p12.mps.gz,2.0,0,0,2.0,5.0,1455.6298789999998,5.0,0.0,29955,0,0,99012,1.999177,0,0,4,0,optimal,DONE
125,l2p12.mps.gz,2.0,0,0,2.0,5.0,1374.395408,5.0,0.0,29955,0,0,99012,1.943989,0,0,16,0,optimal,DONE
125,l2p12.mps.gz,2.0,0,0,2.0,5.0,1374.299454,5.0,0.0,29955,0,0,99012,1.900722,0,0,8,0,optimal,DONE
125,l2p12.mps.gz,2.0,0,0,2.0,5.0,1305.188834,5.0,0.0,29955,0,0,99012,1.8992099999999998,0,0,32,0,optimal,DONE
126,lectsched-1.mps.gz,0.0,0,0,0.0,0.0,295.095109,0.0,0.0,14420,0,0,1410,8.623217,0,0,32,0,optimal,DONE
126,lectsched-1.mps.gz,0.0,0,0,0.0,0.0,269.420852,0.0,0.0,14420,0,0,1410,7.4893149999999995,0,0,16,0,optimal,DONE
126,lectsched-1.mps.gz,0.0,0,0,0.0,0.0,261.818087,0.0,0.0,14420,0,0,1410,7.343576,0,0,8,0,optimal,DONE
126,lectsched-1.mps.gz,0.0,0,0,0.0,0.0,266.671569,0.0,0.0,14420,0,0,1410,7.486878999999999,0,0,2,0,optimal,DONE
126,lectsched-1.mps.gz,0.0,0,0,0.0,0.0,261.114428,0.0,0.0,14420,0,0,1410,7.334915,0,0,4,0,optimal,DONE
127,lectsched-2.mps.gz,0.0,0,0,0.0,0.0,9.330003999999999,0.0,0.0,8152,0,0,101,2.710906,0,0,2,0,optimal,DONE
127,lectsched-2.mps.gz,0.0,0,0,0.0,0.0,9.832934,0.0,0.0,8152,0,0,101,2.911122,0,0,32,0,optimal,DONE
127,lectsched-2.mps.gz,0.0,0,0,0.0,0.0,9.361908999999999,0.0,0.0,8152,0,0,101,2.741364,0,0,16,0,optimal,DONE
127,lectsched-2.mps.gz,0.0,0,0,0.0,0.0,9.186024,0.0,0.0,8152,0,0,101,2.661278,0,0,8,0,optimal,DONE
127,lectsched-2.mps.gz,0.0,0,0,0.0,0.0,10.039591999999999,0.0,0.0,8152,0,0,101,2.885964,0,0,4,0,optimal,DONE
128,lectsched-3.mps.gz,0.0,0,0,0.0,0.0,318.901067,0.0,0.0,26371,0,0,678,6.2131940000000005,0,0,16,0,optimal,DONE
128,lectsched-3.mps.gz,0.0,0,0,0.0,0.0,335.19327999999996,0.0,0.0,26371,0,0,678,6.890646,0,0,4,0,optimal,DONE
128,lectsched-3.mps.gz,0.0,0,0,0.0,0.0,334.655923,0.0,0.0,26371,0,0,678,6.896625,0,0,2,0,optimal,DONE
128,lectsched-3.mps.gz,0.0,0,0,0.0,0.0,317.033858,0.0,0.0,26371,0,0,678,6.225297,0,0,8,0,optimal,DONE
128,lectsched-3.mps.gz,0.0,0,0,0.0,0.0,304.42658900000004,0.0,0.0,26371,0,0,678,5.785659,0,0,32,0,optimal,DONE
129,lectsched-4-obj.mps.gz,3.0,0,0,3.0,4.0,20.447829000000002,4.0,0.0,4723,0,0,1395,1.201258,0,0,2,0,optimal,DONE
129,lectsched-4-obj.mps.gz,3.0,0,0,3.0,4.0,20.369184,4.0,0.0,4723,0,0,1395,1.1784299999999999,0,0,4,0,optimal,DONE
129,lectsched-4-obj.mps.gz,3.0,0,0,3.0,4.0,22.109949,4.0,0.0,4723,0,0,1395,1.275565,0,0,32,0,optimal,DONE
129,lectsched-4-obj.mps.gz,3.0,0,0,3.0,4.0,18.855823,4.0,0.0,4723,0,0,1395,1.464993,0,0,8,0,optimal,DONE
129,lectsched-4-obj.mps.gz,3.0,0,0,3.0,4.0,18.730382000000002,4.0,0.0,4723,0,0,1395,1.090072,0,0,16,0,optimal,DONE
130,loopha13.mps.gz,0.8697966666666661,0,0,6.279,6.402330000000003,10031.934503,6.402330000000003,0.0,17348,0,0,1570481,0.561473,0,0,4,0,optimal,DONE
130,loopha13.mps.gz,0.8697966666666661,0,0,6.279,6.402330000000003,10845.238073999999,6.402330000000003,0.0,17348,0,0,1570481,0.628707,0,0,2,0,optimal,DONE
130,loopha13.mps.gz,0.8697966666666661,0,0,6.279,6.402330000000003,11353.413263,6.402330000000003,0.0,17348,0,0,1570481,0.6493,0,0,16,0,optimal,DONE
130,loopha13.mps.gz,0.8697966666666661,0,0,6.279,6.402330000000003,10797.497679,6.402330000000003,0.0,17348,0,0,1570481,0.5681039999999999,0,0,8,0,optimal,DONE
130,loopha13.mps.gz,0.8697966666666661,0,0,6.279,6.402330000000003,9755.215720999999,6.402330000000003,0.0,17348,0,0,1570481,0.6448050000000001,0,0,32,0,optimal,DONE
131,manna81.mps.gz,-21649.0,0,0,-13297.0,-13164.0,18000.050528,-13164.0,0.00945761166818596,6480,0,0,3686502,0.106065,0,0,8,0,timelimit,DONE
131,manna81.mps.gz,-21649.0,0,0,-13297.0,-13164.0,18000.050555,-13164.0,0.00945761166818596,6480,0,0,3679863,0.106064,0,0,16,0,timelimit,DONE
131,manna81.mps.gz,-21649.0,0,0,-13297.0,-13164.0,18000.053608000002,-13164.0,0.00945761166818596,6480,0,0,3764911,0.111697,0,0,4,0,timelimit,DONE
131,manna81.mps.gz,-21649.0,0,0,-13297.0,-13164.0,18000.059164,-13164.0,0.00945761166818596,6480,0,0,4396464,0.102657,0,0,32,0,timelimit,DONE
131,manna81.mps.gz,-21649.0,0,0,-13297.0,-13164.0,18000.054066999997,-13164.0,0.00945761166818596,6480,0,0,3763230,0.111697,0,0,2,0,timelimit,DONE
132,map06.mps.gz,-1675.0,0,0,-406.18117265238726,-289.0,961.085934,-289.0,0.0,28090,0,0,756,4.907413,0,0,16,0,optimal,DONE
132,map06.mps.gz,-1675.0,0,0,-406.18117265238726,-289.0,917.2437689999999,-289.0,0.0,28090,0,0,756,4.152464,0,0,2,0,optimal,DONE
132,map06.mps.gz,-1675.0,0,0,-406.18117265238726,-289.0,920.5775679999999,-289.0,0.0,28090,0,0,756,4.6590940000000005,0,0,8,0,optimal,DONE
132,map06.mps.gz,-1675.0,0,0,-406.18117265238726,-289.0,951.7212199999999,-289.0,0.0,28090,0,0,756,4.913894,0,0,32,0,optimal,DONE
132,map06.mps.gz,-1675.0,0,0,-406.18117265238726,-289.0,981.927782,-289.0,0.0,28090,0,0,756,5.237107,0,0,4,0,optimal,DONE
133,map10.mps.gz,-1675.0,0,0,-602.1761806187885,-495.0,1257.433537,-495.0,0.0,28090,0,0,2333,4.5122290000000005,0,0,2,0,optimal,DONE
133,map10.mps.gz,-1675.0,0,0,-602.1761806187885,-495.0,1225.824041,-495.0,0.0,28090,0,0,2333,3.933817,0,0,4,0,optimal,DONE
133,map10.mps.gz,-1675.0,0,0,-602.1761806187885,-495.0,1161.690692,-495.0,0.0,28090,0,0,2333,3.901188,0,0,8,0,optimal,DONE
133,map10.mps.gz,-1675.0,0,0,-602.1761806187885,-495.0,1160.710272,-495.0,0.0,28090,0,0,2333,3.9159080000000004,0,0,16,0,optimal,DONE
133,map10.mps.gz,-1675.0,0,0,-602.1761806187885,-495.0,1134.5384390000002,-495.0,0.0,28090,0,0,2333,3.7230730000000003,0,0,32,0,optimal,DONE
134,map14860-20.mps.gz,-1675.0,0,0,-998.8364186513647,-922.0,440.247892,-922.0,0.0,28090,0,0,695,4.441457,0,0,8,0,optimal,DONE
134,map14860-20.mps.gz,-1675.0,0,0,-998.8364186513647,-922.0,457.643375,-922.0,0.0,28090,0,0,695,4.354609,0,0,4,0,optimal,DONE
134,map14860-20.mps.gz,-1675.0,0,0,-998.8364186513647,-922.0,327.648596,-922.0,0.0,28090,0,0,695,4.270651,0,0,16,0,optimal,DONE
134,map14860-20.mps.gz,-1675.0,0,0,-998.8364186513647,-922.0,328.36939900000004,-922.0,0.0,28090,0,0,695,4.189374,0,0,32,0,optimal,DONE
134,map14860-20.mps.gz,-1675.0,0,0,-998.8364186513647,-922.0,428.004238,-922.0,0.0,28090,0,0,695,3.878676,0,0,2,0,optimal,DONE
135,map16715-04.mps.gz,-1675.0,0,0,-296.2678982430179,-111.0,1791.861294,-111.0,0.0,28090,0,0,2000,4.124205,0,0,8,0,optimal,DONE
135,map16715-04.mps.gz,-1675.0,0,0,-296.2678982430179,-111.0,1679.861033,-111.0,0.0,28090,0,0,2000,4.204578,0,0,2,0,optimal,DONE
135,map16715-04.mps.gz,-1675.0,0,0,-296.2678982430179,-111.0,1820.1762850000002,-111.0,0.0,28090,0,0,2000,4.16584,0,0,16,0,optimal,DONE
135,map16715-04.mps.gz,-1675.0,0,0,-296.2678982430179,-111.0,1807.160564,-111.0,0.0,28090,0,0,2000,4.172675,0,0,32,0,optimal,DONE
135,map16715-04.mps.gz,-1675.0,0,0,-296.2678982430179,-111.0,1806.9476510000002,-111.0,0.0,28090,0,0,2000,4.1422099999999995,0,0,4,0,optimal,DONE
136,map18.mps.gz,-1675.0,0,0,-932.7826847474023,-847.0,307.894331,-847.0,0.0,28090,0,0,799,3.5964099999999997,0,0,8,0,optimal,DONE
136,map18.mps.gz,-1675.0,0,0,-932.7826847474023,-847.0,307.649698,-847.0,0.0,28090,0,0,799,3.548679,0,0,2,0,optimal,DONE
136,map18.mps.gz,-1675.0,0,0,-932.7826847474023,-847.0,308.896343,-847.0,0.0,28090,0,0,799,3.6048720000000003,0,0,4,0,optimal,DONE
136,map18.mps.gz,-1675.0,0,0,-932.7826847474023,-847.0,303.304737,-847.0,0.0,28090,0,0,799,3.554417,0,0,16,0,optimal,DONE
136,map18.mps.gz,-1675.0,0,0,-932.7826847474023,-847.0,301.772938,-847.0,0.0,28090,0,0,799,3.6222260000000004,0,0,32,0,optimal,DONE
137,mappingmesh3x3mpeg2i.mps.gz,308.0,0,0,308.0,905.0,206.548025,905.0,0.0,4667,0,0,1045,1.1728100000000001,0,0,8,0,optimal,DONE
137,mappingmesh3x3mpeg2i.mps.gz,308.0,0,0,308.0,905.0,207.75391100000002,905.0,0.0,4667,0,0,1045,1.187828,0,0,4,0,optimal,DONE
137,mappingmesh3x3mpeg2i.mps.gz,308.0,0,0,308.0,905.0,203.203239,905.0,0.0,4667,0,0,1045,0.8337129999999999,0,0,16,0,optimal,DONE
137,mappingmesh3x3mpeg2i.mps.gz,308.0,0,0,308.0,905.0,205.953377,905.0,0.0,4667,0,0,1045,1.0056209999999999,0,0,32,0,optimal,DONE
137,mappingmesh3x3mpeg2i.mps.gz,308.0,0,0,308.0,905.0,207.583843,905.0,0.0,4667,0,0,1045,1.188009,0,0,2,0,optimal,DONE
138,mario-t-hard5i.mps.gz,-4482.0,0,0,-4482.0,-4482.0,1343.35751,-4482.0,0.0,10638,0,0,614,94.490424,0,0,16,0,optimal,DONE
138,mario-t-hard5i.mps.gz,-4482.0,0,0,-4482.0,-4482.0,1321.021343,-4482.0,0.0,10638,0,0,614,92.042254,0,0,4,0,optimal,DONE
138,mario-t-hard5i.mps.gz,-4482.0,0,0,-4482.0,-4482.0,1328.519712,-4482.0,0.0,10638,0,0,614,91.965486,0,0,2,0,optimal,DONE
138,mario-t-hard5i.mps.gz,-4482.0,0,0,-4482.0,-4482.0,1374.461264,-4482.0,0.0,10638,0,0,614,96.708258,0,0,8,0,optimal,DONE
138,mario-t-hard5i.mps.gz,-4482.0,0,0,-4482.0,-4482.0,1344.498687,-4482.0,0.0,10638,0,0,614,94.810402,0,0,32,0,optimal,DONE
139,markshare_4_0.mps.gz,-3084.0,0,0,-4.547473508864641e-13,1.0,166.159459,1.0,0.0,8,0,0,2130216,0.007679000000000001,0,0,4,0,optimal,DONE
139,markshare_4_0.mps.gz,-3084.0,0,0,-4.547473508864641e-13,1.0,164.236941,1.0,0.0,8,0,0,2130216,0.006453,0,0,2,0,optimal,DONE
139,markshare_4_0.mps.gz,-3084.0,0,0,-4.547473508864641e-13,1.0,162.765829,1.0,0.0,8,0,0,2130216,0.005487,0,0,16,0,optimal,DONE
139,markshare_4_0.mps.gz,-3084.0,0,0,-4.547473508864641e-13,1.0,163.567477,1.0,0.0,8,0,0,2130216,0.005487,0,0,8,0,optimal,DONE
139,markshare_4_0.mps.gz,-3084.0,0,0,-4.547473508864641e-13,1.0,172.932962,1.0,0.0,8,0,0,2130216,0.005292,0,0,32,0,optimal,DONE
140,mas74.mps.gz,10482.795280331204,0,0,10623.852461905904,11801.185728999995,1256.739269,11801.185728999995,0.0,39,0,0,5967997,0.010985,0,0,2,0,optimal,DONE
140,mas74.mps.gz,10482.795280331204,0,0,10623.852461905904,11801.185728999995,1261.330503,11801.185728999995,0.0,39,0,0,5967997,0.013369999999999998,0,0,32,0,optimal,DONE
140,mas74.mps.gz,10482.795280331204,0,0,10623.852461905904,11801.185728999995,1252.703176,11801.185728999995,0.0,39,0,0,5967997,0.013369999999999998,0,0,16,0,optimal,DONE
140,mas74.mps.gz,10482.795280331204,0,0,10623.852461905904,11801.185728999995,1255.285151,11801.185728999995,0.0,39,0,0,5967997,0.010929000000000001,0,0,4,0,optimal,DONE
140,mas74.mps.gz,10482.795280331204,0,0,10623.852461905904,11801.185728999995,1256.847338,11801.185728999995,0.0,39,0,0,5967997,0.010926,0,0,8,0,optimal,DONE
141,mas76.mps.gz,38893.90364052266,0,0,38893.903640522614,40005.054141999986,55.32123299999999,40005.054141999986,0.0,24,0,0,178175,0.011804,0,0,4,0,optimal,DONE
141,mas76.mps.gz,38893.90364052266,0,0,38893.903640522614,40005.054141999986,54.311384,40005.054141999986,0.0,24,0,0,178175,0.011784000000000001,0,0,16,0,optimal,DONE
141,mas76.mps.gz,38893.90364052266,0,0,38893.903640522614,40005.054141999986,55.32123299999999,40005.054141999986,0.0,24,0,0,178175,0.011770000000000001,0,0,2,0,optimal,DONE
141,mas76.mps.gz,38893.90364052266,0,0,38893.903640522614,40005.054141999986,53.97675,40005.054141999986,0.0,24,0,0,178175,0.010713,0,0,8,0,optimal,DONE
141,mas76.mps.gz,38893.90364052266,0,0,38893.903640522614,40005.054141999986,54.411149,40005.054141999986,0.0,24,0,0,178175,0.011794,0,0,32,0,optimal,DONE
142,mcsched.mps.gz,-878973.0,0,0,193774.753706622,211913.0,227.16808799999998,211913.0,0.0,3706,0,0,20843,0.09631,0,0,2,0,optimal,DONE
142,mcsched.mps.gz,-878973.0,0,0,193774.753706622,211913.0,223.79247200000003,211913.0,0.0,3706,0,0,20843,0.094663,0,0,32,0,optimal,DONE
142,mcsched.mps.gz,-878973.0,0,0,193774.753706622,211913.0,222.233329,211913.0,0.0,3706,0,0,20843,0.09018,0,0,16,0,optimal,DONE
142,mcsched.mps.gz,-878973.0,0,0,193774.753706622,211913.0,227.21242200000003,211913.0,0.0,3706,0,0,20843,0.096367,0,0,8,0,optimal,DONE
142,mcsched.mps.gz,-878973.0,0,0,193774.753706622,211913.0,227.607213,211913.0,0.0,3706,0,0,20843,0.09631100000000001,0,0,4,0,optimal,DONE
143,mik-250-20-75-1.mps.gz,-207474.0,0,0,-52997.0,-49716.0,28.519716,-49716.0,0.0,300,0,0,94342,0.029737,0,0,2,0,optimal,DONE
143,mik-250-20-75-1.mps.gz,-207474.0,0,0,-52997.0,-49716.0,29.014002,-49716.0,0.0,300,0,0,94342,0.032962,0,0,16,0,optimal,DONE
143,mik-250-20-75-1.mps.gz,-207474.0,0,0,-52997.0,-49716.0,29.086993,-49716.0,0.0,300,0,0,94342,0.033117,0,0,8,0,optimal,DONE
143,mik-250-20-75-1.mps.gz,-207474.0,0,0,-52997.0,-49716.0,28.506482000000002,-49716.0,0.0,300,0,0,94342,0.029738,0,0,4,0,optimal,DONE
143,mik-250-20-75-1.mps.gz,-207474.0,0,0,-52997.0,-49716.0,29.066984,-49716.0,0.0,300,0,0,94342,0.032989,0,0,32,0,optimal,DONE
144,mik-250-20-75-2.mps.gz,-206974.0,0,0,-54241.70005189414,-50768.0,29.202768,-50768.0,0.0,300,0,0,90650,0.031881,0,0,2,0,optimal,DONE
144,mik-250-20-75-2.mps.gz,-206974.0,0,0,-54241.70005189414,-50768.0,28.526659999999996,-50768.0,0.0,300,0,0,90650,0.030786,0,0,16,0,optimal,DONE
144,mik-250-20-75-2.mps.gz,-206974.0,0,0,-54241.70005189414,-50768.0,29.316802000000003,-50768.0,0.0,300,0,0,90650,0.029619,0,0,32,0,optimal,DONE
144,mik-250-20-75-2.mps.gz,-206974.0,0,0,-54241.70005189414,-50768.0,29.263284999999996,-50768.0,0.0,300,0,0,90650,0.031882,0,0,8,0,optimal,DONE
144,mik-250-20-75-2.mps.gz,-206974.0,0,0,-54241.70005189414,-50768.0,29.201484000000004,-50768.0,0.0,300,0,0,90650,0.031881,0,0,4,0,optimal,DONE
145,mik-250-20-75-3.mps.gz,-224541.0,0,0,-55479.0,-52242.0,30.341990000000003,-52242.0,0.0,300,0,0,93985,0.032116000000000006,0,0,32,0,optimal,DONE
145,mik-250-20-75-3.mps.gz,-224541.0,0,0,-55479.0,-52242.0,31.063554999999997,-52242.0,0.0,300,0,0,93985,0.033280000000000004,0,0,16,0,optimal,DONE
145,mik-250-20-75-3.mps.gz,-224541.0,0,0,-55479.0,-52242.0,30.473277000000003,-52242.0,0.0,300,0,0,93985,0.031601,0,0,2,0,optimal,DONE
145,mik-250-20-75-3.mps.gz,-224541.0,0,0,-55479.0,-52242.0,30.698857,-52242.0,0.0,300,0,0,93985,0.031201,0,0,8,0,optimal,DONE
145,mik-250-20-75-3.mps.gz,-224541.0,0,0,-55479.0,-52242.0,30.650235,-52242.0,0.0,300,0,0,93985,0.031683,0,0,4,0,optimal,DONE
146,mik-250-20-75-4.mps.gz,-224089.0,0,0,-56618.0,-52301.0,375.20896,-52301.0,0.0,300,0,0,1372077,0.03368,0,0,32,0,optimal,DONE
146,mik-250-20-75-4.mps.gz,-224089.0,0,0,-56618.0,-52301.0,375.072964,-52301.0,0.0,300,0,0,1372077,0.032171,0,0,4,0,optimal,DONE
146,mik-250-20-75-4.mps.gz,-224089.0,0,0,-56618.0,-52301.0,369.18226200000004,-52301.0,0.0,300,0,0,1372077,0.032585,0,0,2,0,optimal,DONE
146,mik-250-20-75-4.mps.gz,-224089.0,0,0,-56618.0,-52301.0,375.265593,-52301.0,0.0,300,0,0,1372077,0.032707,0,0,16,0,optimal,DONE
146,mik-250-20-75-4.mps.gz,-224089.0,0,0,-56618.0,-52301.0,375.44329500000003,-52301.0,0.0,300,0,0,1372077,0.031868,0,0,8,0,optimal,DONE
147,mik-250-20-75-5.mps.gz,-205732.0,0,0,-54821.0,-51532.0,31.337913,-51532.0,0.0,300,0,0,91136,0.030996,0,0,2,0,optimal,DONE
147,mik-250-20-75-5.mps.gz,-205732.0,0,0,-54821.0,-51532.0,31.608098,-51532.0,0.0,300,0,0,91136,0.033377,0,0,16,0,optimal,DONE
