,NAME,RANDOM SEED,TIME W/ CUTS,NODES W/ CUTS,TIME W/O CUTS,NODES W/O CUTS,GAP W/ CUTS,GAP W/O CUTS,Minimum Time,Minimum Nodes
197,bab6.mps.gz,8,18000.014,2464,18000.00499,10107,0.01202157,0.07934722599999999,18000.00499,2464
198,bab6.mps.gz,16,18000.01425,2514,18000.00488,11363,0.01202157,0.079309897,18000.00488,2514
199,bab6.mps.gz,32,18000.014,1474,18000.004419999997,11316,0.012053888,0.079309897,18000.004419999997,1474
220,berlin_5_8_0.mps.gz,2,18000.01711,3601889,18000.001809999998,384735,0.087719298,0.148148148,18000.001809999998,384735
221,berlin_5_8_0.mps.gz,4,18000.015190000002,3633551,18000.00766,1039381,0.087719298,0.148148148,18000.00766,1039381
222,berlin_5_8_0.mps.gz,8,18000.01516,3614123,18000.009,1367817,0.087719298,0.148148148,18000.009,1367817
223,berlin_5_8_0.mps.gz,16,18000.01447,3578185,18000.012919999997,1772791,0.087719298,0.148148148,18000.012919999997,1772791
224,berlin_5_8_0.mps.gz,32,18000.13545,3547127,18000.01208,1701022,0.087719298,0.148148148,18000.01208,1701022
225,bg512142.mps.gz,2,18000.04189,5038844,18000.05374,9219856,0.141004861,0.20238858399999998,18000.04189,5038844
226,bg512142.mps.gz,4,18000.04496,5102781,18000.06012,9865605,0.140860041,0.201413503,18000.04496,5102781
227,bg512142.mps.gz,8,18000.04618,5061881,18000.0564,10232888,0.14094494800000001,0.20088575600000003,18000.04618,5061881
228,bg512142.mps.gz,16,18000.0412,4990181,18000.0619,10770717,0.141123423,0.20015831899999997,18000.0412,4990181
229,bg512142.mps.gz,32,18000.04252,5009805,18000.05555,10668221,0.14107873,0.20028629,18000.04252,5009805
275,bmoipr2.mps.gz,2,18000.0067,828909,18000.00724,999834,2.6300000000000002e-05,0.001047888,18000.0067,828909
276,bmoipr2.mps.gz,4,18000.00741,881813,18000.006719999998,1083364,2.62e-05,0.0009035380000000001,18000.006719999998,881813
277,bmoipr2.mps.gz,8,18000.00814,881311,18000.00346,1064317,2.62e-05,0.000932734,18000.00346,881311
278,bmoipr2.mps.gz,16,18000.00676,900554,18000.00434,1080166,2.62e-05,0.000907752,18000.00434,900554
279,bmoipr2.mps.gz,32,18000.00795,920098,18000.00284,1146422,2.62e-05,0.000816942,18000.00284,920098
295,bppc8-09.mps.gz,2,18000.03485,8292815,18000.03039,10738324,0.042402827000000004,0.044504549000000004,18000.03039,8292815
296,bppc8-09.mps.gz,4,18000.0228,8368974,18000.03851,11128426,0.04218844099999999,0.044247787999999996,18000.0228,8368974
297,bppc8-09.mps.gz,8,18000.03029,8371225,18000.03644,11051577,0.0421806,0.044247787999999996,18000.03029,8371225
298,bppc8-09.mps.gz,16,18000.02526,8365583,18000.03632,11014683,0.042197973,0.044247787999999996,18000.02526,8365583
299,bppc8-09.mps.gz,32,18000.02351,8355819,18000.03553,11010996,0.042238992999999996,0.044247787999999996,18000.02351,8355819
310,buildingenergy.mps.gz,2,18006.79439,315,18014.26713,52,0.00082039,0.001237955,18006.79439,52
311,buildingenergy.mps.gz,4,18004.85928,315,18000.14157,52,0.00082039,0.001237955,18000.14157,52
312,buildingenergy.mps.gz,8,18002.93506,315,18008.9988,52,0.00082039,0.001237955,18002.93506,52
313,buildingenergy.mps.gz,16,18003.814830000003,315,18014.85152,52,0.00082039,0.001237955,18003.814830000003,52
314,buildingenergy.mps.gz,32,18000.415530000002,315,18005.564980000003,52,0.00082039,0.001237955,18000.415530000002,52
325,chromaticindex1024-7.mps.gz,2,18000.118130000003,17551,18000.03129,4925,0.333333333,0.333333333,18000.03129,4925
326,chromaticindex1024-7.mps.gz,4,18000.00277,20008,18000.14617,5629,0.333333333,0.333333333,18000.00277,5629
327,chromaticindex1024-7.mps.gz,8,18026.857969999997,16678,18018.79818,5942,0.333333333,0.333333333,18018.79818,5942
328,chromaticindex1024-7.mps.gz,16,18000.00187,19978,18028.7426,6162,0.333333333,0.333333333,18000.00187,6162
329,chromaticindex1024-7.mps.gz,32,18000.2515,14905,18000.351880000002,6374,0.333333333,0.333333333,18000.2515,6374
355,cmflsp40-24-10-7.mps.gz,2,18000.00551,220549,18000.00579,196923,1e+20,1e+20,18000.00551,196923
356,cmflsp40-24-10-7.mps.gz,4,18000.005119999998,220371,18000.00428,198734,1e+20,1e+20,18000.00428,198734
357,cmflsp40-24-10-7.mps.gz,8,18000.00513,221743,18000.00417,199709,1e+20,1e+20,18000.00417,199709
358,cmflsp40-24-10-7.mps.gz,16,18000.00562,222558,18000.004259999998,195534,1e+20,1e+20,18000.004259999998,195534
359,cmflsp40-24-10-7.mps.gz,32,18000.00597,222989,18000.00482,201850,1e+20,1e+20,18000.00482,201850
360,cmflsp50-24-10-4.mps.gz,2,18000.00389,216483,18000.0013,285334,0.004410937,0.004272631,18000.0013,216483
361,cmflsp50-24-10-4.mps.gz,4,18000.00101,217431,18000.00109,288563,0.004406677,0.0040912890000000006,18000.00101,217431
362,cmflsp50-24-10-4.mps.gz,8,18000.001,216204,18000.00122,291316,0.004412905999999999,0.004078051,18000.001,216204
363,cmflsp50-24-10-4.mps.gz,16,18000.00225,217715,18000.00122,292030,0.004405336,0.004076156,18000.00122,217715
364,cmflsp50-24-10-4.mps.gz,32,18000.00177,216165,18000.00121,293003,0.004413559,0.004071623,18000.00121,216165
385,comp07-2idx.mps.gz,2,18000.00209,1105,18000.002,6709,13.16666667,25.0,18000.002,1105
386,comp07-2idx.mps.gz,4,18000.001780000002,1237,18000.00168,6609,13.16666667,25.0,18000.00168,1237
387,comp07-2idx.mps.gz,8,18000.00444,1158,18000.00209,6438,13.16666667,25.0,18000.00209,1158
388,comp07-2idx.mps.gz,16,18000.508130000002,1334,18000.00144,6904,13.16666667,25.0,18000.00144,1334
389,comp07-2idx.mps.gz,32,18000.0299,1305,18001.690280000003,7141,13.16666667,25.0,18000.0299,1305
395,comp21-2idx.mps.gz,2,18000.00124,20642,18000.00243,195189,1.499743616,15.74941452,18000.00124,20642
396,comp21-2idx.mps.gz,4,18000.001269999997,22264,18000.00225,190814,1.487268104,15.86792453,18000.001269999997,22264
397,comp21-2idx.mps.gz,8,18000.00141,21175,18000.00238,185738,1.4957343319999998,16.02857143,18000.00141,21175
398,comp21-2idx.mps.gz,16,18000.00121,23238,18000.00256,203404,1.4816316790000001,15.55555556,18000.00121,23238
399,comp21-2idx.mps.gz,32,18000.00226,22855,18000.011469999998,212111,1.483079319,15.55555556,18000.00226,22855
405,cryptanalysiskb128n5obj16.mps.gz,2,18000.00403,606,18000.00392,848,1e+20,1e+20,18000.00392,606
406,cryptanalysiskb128n5obj16.mps.gz,4,18000.04189,630,18000.0042,945,1e+20,1e+20,18000.0042,630
407,cryptanalysiskb128n5obj16.mps.gz,8,18000.005530000002,638,18000.00521,962,1e+20,1e+20,18000.00521,638
408,cryptanalysiskb128n5obj16.mps.gz,16,18000.004259999998,630,18000.004119999998,986,1e+20,1e+20,18000.004119999998,630
409,cryptanalysiskb128n5obj16.mps.gz,32,18052.23455,599,18011.43061,58,1e+20,1e+20,18011.43061,58
425,cvs08r139-94.mps.gz,2,18000.00035,187751,18000.00084,855855,0.080149157,0.07789793099999999,18000.00035,187751
426,cvs08r139-94.mps.gz,4,18000.0004,188431,18000.00065,867806,0.08010702900000001,0.077647015,18000.0004,188431
427,cvs08r139-94.mps.gz,8,18000.000330000003,188064,18000.00083,876909,0.080131048,0.077457653,18000.000330000003,188064
428,cvs08r139-94.mps.gz,16,18000.00026,187877,18000.00073,897578,0.080139742,0.077038065,18000.00026,187877
429,cvs08r139-94.mps.gz,32,18000.00026,187420,18000.000790000002,1071407,0.080180739,0.073450237,18000.00026,187420
430,cvs16r106-72.mps.gz,2,18000.00027,80690,18000.00221,672642,0.157452086,0.166081901,18000.00027,80690
431,cvs16r106-72.mps.gz,4,18000.00076,85309,18000.00195,666402,0.156581249,0.166294037,18000.00076,85309
432,cvs16r106-72.mps.gz,8,18000.00031,79883,18000.00198,620692,0.157593835,0.167934136,18000.00031,79883
433,cvs16r106-72.mps.gz,16,18000.00027,82622,18000.00216,648592,0.156979098,0.166947296,18000.00027,82622
