,NAME,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
159,prod1.mps.gz,21.8696718,39.29601900000001,23996.0,84130.0,1,1,1,1,21.8696718,23996.0,21.8696718,21.8696718,21.8696718,23996.0,23996.0,23996.0
160,ran12x21.mps.gz,79.9657558,451.7017362,2246.0,588324.0,1,1,1,1,79.9657558,2246.0,79.9657558,79.9657558,79.9657558,2246.0,2246.0,2246.0
161,drayage-25-27.mps.gz,65.1316818,7508.6599582,2023.0,929340.0,1,1,1,1,65.1316818,2023.0,65.1316818,65.1316818,65.1316818,2023.0,2023.0,2023.0
162,acc-tight2.mps.gz,19.537958800000002,30.3616034,7.0,80.0,1,1,1,1,19.537958800000002,7.0,19.537958800000002,19.537958800000002,19.537958800000002,7.0,7.0,7.0
163,qnet1_o.mps.gz,2.4268121999999996,3.7403718,1.0,237.0,1,1,1,1,2.4268121999999996,1.0,2.4268121999999996,2.4268121999999996,2.4268121999999996,1.0,1.0,1.0
164,neos-3734794-moppy.mps.gz,9517.204972799998,18045.693396399998,1209474.0,2356256.4,1,1,1,1,9517.204972799998,1209474.0,9517.204972799998,9517.204972799998,9517.204972799998,1209474.0,1209474.0,1209474.0
165,swath3.mps.gz,221.8988,237.3959726,26005.0,15491.0,1,1,1,1,221.8988,15491.0,221.8988,221.8988,221.8988,26005.0,26005.0,26005.0
166,piperout-08.mps.gz,26.674481200000002,57.8036812,135.0,1377.0,1,1,1,1,26.674481200000002,135.0,26.674481200000002,26.674481200000002,26.674481200000002,135.0,135.0,135.0
167,neos-4754521-awarau.mps.gz,82.1169042,99.8804714,1.0,1.0,1,1,1,1,82.1169042,1.0,82.1169042,82.1169042,82.1169042,1.0,1.0,1.0
168,neos-1061020.mps.gz,488.3858472,244.9498906,1442.0,480.0,0,1,1,0,244.9498906,480.0,488.3858472,244.9498906,488.3858472,1442.0,480.0,1442.0
169,graph20-20-1rand.mps.gz,16.101377399999997,9.6354916,629.0,1111.0,0,1,0,0,9.6354916,629.0,9.6354916,9.6354916,16.101377399999997,1111.0,1111.0,629.0
170,neos-1122047.mps.gz,13.7897356,14.9106168,1.0,1.0,1,1,1,1,13.7897356,1.0,13.7897356,13.7897356,13.7897356,1.0,1.0,1.0
171,fast0507.mps.gz,344.670931,472.8923362,708.0,1014.0,1,1,1,1,344.670931,708.0,344.670931,344.670931,344.670931,708.0,708.0,708.0
172,neos-3116779-oban.mps.gz,0.03977200000000001,0.036554800000000005,1.0,1.0,0,1,1,0,0.036554800000000005,1.0,0.03977200000000001,0.036554800000000005,0.03977200000000001,1.0,1.0,1.0
173,unitcal_7.mps.gz,1045.1985802,14291.122965400002,705.0,196989.0,1,1,1,1,1045.1985802,705.0,1045.1985802,1045.1985802,1045.1985802,705.0,705.0,705.0
174,supportcase27i.mps.gz,36.256676,49.75019420000001,3221.0,5720.0,1,1,1,1,36.256676,3221.0,36.256676,36.256676,36.256676,3221.0,3221.0,3221.0
175,hypothyroid-k1.mps.gz,25.219137999999997,33.800747,1.0,1.0,1,1,1,1,25.219137999999997,1.0,25.219137999999997,25.219137999999997,25.219137999999997,1.0,1.0,1.0
176,momentum2.mps.gz,11076.647026,18019.332652399997,279602.0,214635.4,1,1,1,1,11076.647026,214635.4,11076.647026,11076.647026,11076.647026,279602.0,279602.0,279602.0
