NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20.0,917.0,13,923.9999999999999,924.0,10.5431,0.08373599999999999,924.0,0.0,261,49,0,30,0.087368,1.490006,3.467127,32,1,optimal,DONE
22433.mps.gz,21240.526170798898,21278.0,58,21471.13885990249,21477.0,2.9060319999999997,0.090999,21477.0,0.0,3167,6,0,1,0.070016,0.22903099999999998,2.906003,32,1,optimal,DONE
23588.mps.gz,7649.866133822501,7660.0,34,7765.0,8090.0,5.068528,0.04958,8090.0,0.0,4400,145,0,576,0.045471,0.17346399999999998,2.121954,32,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336.0,8.5,13,9.0,9.0,305.169922,5.423166,9.0,0.0,12402,101,0,46,5.477684,22.06962,160.390231,32,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132.0,3.0,12,3.0,3.0,819.28474,5.405451,3.0,0.0,13215,324,0,201,5.4563749999999995,23.025433,185.562075,32,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967.0,11.5,11,12.0,12.0,73.270904,5.2822890000000005,12.0,0.0,13035,153,0,1,5.330471,18.375729,73.270761,32,1,optimal,DONE
30n20b8.mps.gz,107.09839101758216,121.76599018734493,90,151.38060569174547,302.0,179.806002,24.358953,302.0,0.0,16344,1105,0,1617,24.202585,26.151036,156.439448,32,1,optimal,DONE
CMS750_4.mps.gz,250.0,250.0,22,250.0,260.0,18000.257615,4.983814,260.0,0.04,155394,1740,0,1,4.682262,5.571438,18000.257384,32,1,timelimit,DONE
Test3.mps.gz,2241736.0000091013,2671192.2167286817,32,2673520.2113535767,2673520.2113535767,8.172219,2.479161,2673520.2113535767,0.0,4993,9,0,1,2.845927,4.771423,8.171369,32,1,optimal,DONE
ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,808.684581,8.159651,-10420305975.0,0.0,10723,92,0,1316,8.228177,0,0,32,1,optimal,DONE
ab67-40-100.mps.gz,-4706401663115.0,-4706401663115.0,1,-4706401663115.0,-11186253442.0,313.978909,8.164508,-11186253442.0,0.0,10294,4,0,73,8.232996,19.257622,19.257622,32,1,optimal,DONE
ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,398.494323,7.345212,-11186281442.0,0.0,10119,1,0,89,7.395289,0,0,32,1,optimal,DONE
ab71-20-100.mps.gz,-2595744808603.0,-10885807586.685564,2,-2595744808603.0,-10420305975.0,199.895148,2.916613,-10420305975.0,0.0,5868,79,0,699,2.9328,6.262059,9.129634,32,1,optimal,DONE
ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,670.539643,7.725401,-11186620442.0,0.0,9879,0,0,152,7.778151,0,0,32,1,optimal,DONE
acc-tight2.mps.gz,0,0.0,11,0,0.0,19.533899,0.116462,0.0,0.0,2713,126,0,7,0.12387999999999999,5.385821,17.766348,32,1,optimal,DONE
acc-tight4.mps.gz,0,0.0,11,0,0.0,229.577517,0.9259139999999999,0.0,0.0,3803,217,0,1087,0.9333319999999999,11.645072,32.072036,32,1,optimal,DONE
acc-tight5.mps.gz,0,0.0,22,0,0.0,286.19433,1.876066,0.0,0.0,12369,670,0,733,1.7403499999999998,5.189606,188.930014,32,1,optimal,DONE
aflow30a.mps.gz,-32161.0,1006.2110928412112,60,1103.8298423870674,1158.0,32.11973,0.08591,1158.0,0.0,44341,3041,0,1923,0.07901699999999999,0.134353,11.606046,32,1,optimal,DONE
aflow40b.mps.gz,-66091.0,1007.5518896388348,68,1104.8952792858,1168.0,950.713557,0.382223,1168.0,0.0,510004,23397,0,34552,0.278035,0.47476399999999996,401.667078,32,1,optimal,DONE
air03.mps.gz,-513715782.0,338889.25,19,340033.75,340160.0,2.982318,0.8225359999999999,340160.0,0.0,124,33,0,1,0.851479,1.686153,2.982256,32,1,optimal,DONE
air04.mps.gz,-83210.0,55558.52412719808,24,55749.079647408835,56137.0,73.920405,7.68101,56137.0,0.0,764,103,0,134,7.721709,13.692954,27.580791,32,1,optimal,DONE
air05.mps.gz,-40465.0,25910.38419520768,4,25966.549980305383,26374.0,56.374523,0.508992,26374.0,0.0,466,57,0,523,0.529365,2.822458,9.039045,32,1,optimal,DONE
aligninq.mps.gz,2654.736802205333,2659.7265675585027,21,2678.210564395061,2713.0,44.894577,0.126903,2713.0,0.0,6407,438,0,979,0.093469,0.45237499999999997,28.561087,32,1,optimal,DONE
app1-1.mps.gz,-23.0,-21.62335335868207,113,-3.0,-3.0,8.125862,0.49210699999999996,-3.0,0.0,6524,84,0,12,0.477473,0.57844,8.102535,32,1,optimal,DONE
app1-2.mps.gz,-266.0,-262.3455439392425,186,-54.0,-41.0,1692.898043,10.881212,-41.0,0.0,220430,16922,0,40804,10.371554,21.738935,400.329126,32,1,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.421506,0.19023299999999999,19294.25,0.0,997,0,0,1,0.19697499999999998,0,0,32,1,optimal,DONE
app2-2.mps.gz,212040.35714285713,212040.35714285713,59,212040.35714285713,212040.5,1.59307,0.090849,212040.5,0.0,1110,0,0,1,0.053429,0.08423699999999999,0.585476,32,1,optimal,DONE
app3.mps.gz,-31829377681.21209,5627880.206645966,78,5743108.628356934,5751714.328903198,5.575653,0.076795,5751714.328903198,0.0,14602,256,0,3,0.072532,0.135538,5.536816,32,1,optimal,DONE
arki001.mps.gz,1273480.9000000001,7579621.852068745,28,7580142.415401723,7580813.065371048,18000.545467,0.126819,7580813.065371048,1.0302608450712222e-05,102919126,792219,0,2267605,0.119033,0.34712699999999996,68.860097,32,1,timelimit,DONE
atlanta-ip.mps.gz,3.00157865668,81.25524491414605,41,81.7538147737422,91.00968519061,18000.003192,2.5290150000000002,91.00968519061,0.024331690159453242,211669,9703,0,50985,2.326699,37.227656,1554.063082,32,1,timelimit,DONE
australia-abs-cta.mps.gz,104.0290678921603,44.99468627530809,31,105.77309319632383,106.90466814284001,359.675556,0.821197,106.90466814284001,0.0,27657,3185,0,1849,0.65143,1.8322379999999998,198.540104,32,1,optimal,DONE
bab5.mps.gz,-1775422.122400002,-114930.53533333333,48,-107477.29309999998,-106411.8401,18000.001365,6.590419,-106411.8401,0.0014231686986870364,928926,100335,0,203959,6.323556,18.561929,507.861667,32,1,timelimit,DONE
bc.mps.gz,4.289050631437719,4.5472317618938405,103,5.185645626298372,7.0,598.236581,5.162337,7.0,0.0,47279,1909,0,2375,5.211011,8.120625,202.772398,32,1,optimal,DONE
bc1.mps.gz,2.1887763488011416,2.192710148043759,97,2.6957328917021495,3.338362547646319,154.837151,3.366141,3.338362547646319,0.0,14922,589,0,1691,3.28891,5.263991,52.166022,32,1,optimal,DONE
beasleyC1.mps.gz,25.0,61.0,140,83.86398438402362,85.0,6.229983,0.045635999999999996,85.0,0.0,5379,579,0,1,0.051541,0.081191,6.229916,32,1,optimal,DONE
beavma.mps.gz,128906.80000000002,333724.0712815307,78,338419.6999999999,383284.99999999994,1.601699,0.048036999999999996,383284.99999999994,0.0,1886,0,0,1,0.034885,0.057741999999999995,1.586593,32,1,optimal,DONE
