NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20.0,917.0,13,923.9999999999999,924.0,10.703114,0.15314899999999998,924.0,0.0,261,49,0,30,0.156992,1.558014,3.54573,2,1,optimal,DONE
22433.mps.gz,21240.526170798898,21278.0,58,21471.13885990249,21477.0,2.87964,0.094021,21477.0,0.0,3167,6,0,1,0.073734,0.232932,2.87961,2,1,optimal,DONE
23588.mps.gz,7649.866133822501,7660.0,34,7765.0,8090.0,4.955615,0.049629,8090.0,0.0,4400,145,0,576,0.045363999999999995,0.17225,2.063721,2,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336.0,8.5,13,9.0,9.0,298.609909,5.40313,9.0,0.0,12402,101,0,46,5.457588,21.920498,159.298551,2,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132.0,3.0,12,3.0,3.0,877.533328,5.82901,3.0,0.0,13215,324,0,201,5.884104,23.860644,193.152846,2,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967.0,11.5,11,12.0,12.0,69.955694,5.358596,12.0,0.0,13035,153,0,1,5.408618,18.319713,69.955544,2,1,optimal,DONE
30n20b8.mps.gz,107.09839101758216,121.76599018734493,90,151.38060569174547,302.0,173.30127,24.406288,302.0,0.0,16344,1105,0,1617,24.275041,26.198455,151.168264,2,1,optimal,DONE
CMS750_4.mps.gz,250.0,250.0,22,250.0,260.0,18000.231004,5.079114,260.0,0.04,155394,1740,0,1,4.647939,5.54636,18000.230339,2,1,timelimit,DONE
Test3.mps.gz,2241736.0000091013,2671192.2167286817,32,2673520.2113535767,2673520.2113535767,8.172098,2.330105,2673520.2113535767,0.0,4993,9,0,1,2.756868,4.704393,8.17124,2,1,optimal,DONE
ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,807.061599,7.57344,-10420305975.0,0.0,10723,92,0,1316,7.624416,0,0,2,1,optimal,DONE
ab67-40-100.mps.gz,-4706401663115.0,-4706401663115.0,1,-4706401663115.0,-11186253442.0,314.041278,8.216954,-11186253442.0,0.0,10294,4,0,73,8.288267,19.256144,19.256144,2,1,optimal,DONE
ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,398.358564,7.3212019999999995,-11186281442.0,0.0,10119,1,0,89,7.370731,0,0,2,1,optimal,DONE
ab71-20-100.mps.gz,-2595744808603.0,-10885807586.685564,2,-2595744808603.0,-10420305975.0,199.22898,2.399238,-10420305975.0,0.0,5868,79,0,699,2.419731,5.507191,8.054462,2,1,optimal,DONE
ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,668.970528,7.741613,-11186620442.0,0.0,9879,0,0,152,7.794789,0,0,2,1,optimal,DONE
acc-tight2.mps.gz,0,0.0,11,0,0.0,19.503565,0.116822,0.0,0.0,2713,126,0,7,0.123537,5.386614,17.742678,2,1,optimal,DONE
acc-tight4.mps.gz,0,0.0,11,0,0.0,228.139796,0.9341649999999999,0.0,0.0,3803,217,0,1087,0.942209,11.570904,32.028498,2,1,optimal,DONE
acc-tight5.mps.gz,0,0.0,22,0,0.0,288.593801,1.894851,0.0,0.0,12369,670,0,733,1.757043,5.064201,189.69261,2,1,optimal,DONE
aflow30a.mps.gz,-32161.0,1006.2110928412112,60,1103.8298423870674,1158.0,32.026787,0.085681,1158.0,0.0,44341,3041,0,1923,0.07847799999999999,0.131131,11.564551,2,1,optimal,DONE
aflow40b.mps.gz,-66091.0,1007.5518896388348,68,1104.8952792858,1168.0,959.929243,0.382708,1168.0,0.0,510004,23397,0,34552,0.27808099999999997,0.47538199999999997,406.473839,2,1,optimal,DONE
air03.mps.gz,-513715782.0,338889.25,19,340033.75,340160.0,2.935421,0.838765,340160.0,0.0,124,33,0,1,0.8698849999999999,1.682035,2.935355,2,1,optimal,DONE
air04.mps.gz,-83210.0,55558.52412719808,24,55749.079647408835,56137.0,71.370797,7.906066,56137.0,0.0,764,103,0,134,7.933835,13.800522,26.227641,2,1,optimal,DONE
air05.mps.gz,-40465.0,25910.38419520768,4,25966.549980305383,26374.0,57.334971,0.560002,26374.0,0.0,466,57,0,523,0.580985,2.916576,9.184378,2,1,optimal,DONE
aligninq.mps.gz,2654.736802205333,2659.7265675585027,21,2678.210564395061,2713.0,43.895817,0.124842,2713.0,0.0,6407,438,0,979,0.09462699999999999,0.451779,28.02105,2,1,optimal,DONE
app1-1.mps.gz,-23.0,-21.62335335868207,113,-3.0,-3.0,7.963214,0.495971,-3.0,0.0,6524,84,0,12,0.482726,0.584911,7.941696,2,1,optimal,DONE
app1-2.mps.gz,-266.0,-262.3455439392425,186,-54.0,-41.0,1478.470013,10.890578,-41.0,0.0,220430,16922,0,40804,10.356502,17.098876,276.582867,2,1,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.478024,0.206289,19294.25,0.0,997,0,0,1,0.21731099999999998,0,0,2,1,optimal,DONE
app2-2.mps.gz,212040.35714285713,212040.35714285713,59,212040.35714285713,212040.5,1.5671979999999999,0.093558,212040.5,0.0,1110,0,0,1,0.057275,0.088543,0.587638,2,1,optimal,DONE
app3.mps.gz,-31829377681.21209,5627880.206645966,78,5743108.628356934,5751714.328903198,5.38068,0.075186,5751714.328903198,0.0,14602,256,0,3,0.071587,0.13216,5.3441849999999995,2,1,optimal,DONE
arki001.mps.gz,1273480.9000000001,7579621.852068745,28,7580142.415401723,7580813.065371048,18000.781084,0.126031,7580813.065371048,1.0642276629166694e-05,71136653,792219,0,2266276,0.11784499999999999,0.334649,76.776906,2,1,timelimit,DONE
atlanta-ip.mps.gz,3.00157865668,81.25524491414605,41,81.7538147737422,90.0098786144,18000.001489,2.691411,90.0098786144,0.012947934602331245,214442,9792,0,51706,2.487875,39.191303,1551.567122,2,1,timelimit,DONE
australia-abs-cta.mps.gz,104.0290678921603,44.99468627530809,31,105.77309319632383,106.90466814284001,359.468505,0.8137789999999999,106.90466814284001,0.0,27657,3185,0,1849,0.639527,1.812141,198.479375,2,1,optimal,DONE
bab5.mps.gz,-1775422.122400002,-114930.53533333333,48,-107477.29309999998,-106411.8401,17812.5544,6.466155,-106411.8401,0.0,1086362,100338,0,204088,6.16926,18.327939,505.0793,2,1,optimal,DONE
bc.mps.gz,4.289050631437719,4.5472317618938405,103,5.185645626298372,7.0,578.377071,5.552027,7.0,0.0,47279,1909,0,2375,5.603808,8.551467,208.837179,2,1,optimal,DONE
bc1.mps.gz,2.1887763488011416,2.192710148043759,97,2.6957328917021495,3.338362547646319,178.50005,3.609554,3.338362547646319,0.0,14922,589,0,1691,3.522532,5.548037,58.41779,2,1,optimal,DONE
beasleyC1.mps.gz,25.0,61.0,140,83.86398438402362,85.0,6.500383,0.048466999999999996,85.0,0.0,5379,579,0,1,0.054405999999999996,0.08329199999999999,6.500336,2,1,optimal,DONE
beavma.mps.gz,128906.80000000002,333724.0712815307,78,338419.6999999999,383284.99999999994,1.545815,0.047381,383284.99999999994,0.0,1886,0,0,1,0.03465,0.05717,1.5309659999999998,2,1,optimal,DONE
biella1.mps.gz,3060037.430763108,3060287.28307585,61,3063511.1293882434,3065005.779999996,1137.637829,2.710707,3065005.779999997,0.0,8231,139,0,199,1.5662129999999999,7.55107,1072.382987,2,1,optimal,DONE
bienst1.mps.gz,11.724137931034484,18.65670992982674,36,37.50394143304985,46.75,212.822482,0.019298,46.75,0.0,154034,5857,0,17052,0.021107,0.06278199999999999,6.025939,2,1,optimal,DONE
bienst2.mps.gz,11.724137931034482,18.65670992982674,51,37.336444135607046,54.6,788.86114,0.027122999999999998,54.6,0.0,1152094,35732,0,80837,0.024364999999999998,0.067864,64.517036,2,1,optimal,DONE
binkar10_1.mps.gz,-16000599.24000705,6644.706029481107,49,6714.6758837913485,6742.200023999493,59.950272,0.07024999999999999,6742.200023999493,0.0,52599,5225,0,2269,0.064641,0.119391,3.297402,2,1,optimal,DONE
blend2.mps.gz,7.043999070402349,7.04399907040235,6,7.047626604978829,7.598985000000001,2.733306,0.043344999999999995,7.598985000000001,0.0,1671,389,0,854,0.04146,0.073087,1.234308,2,1,optimal,DONE
bley_xl1.mps.gz,80.0,184.4391691056099,26,189.9182994627406,190.0,27.04374,9.979785,190.0,0.0,9115,262,0,8,10.273993,12.144943,21.918832,2,1,optimal,DONE
blp-ir98.mps.gz,96.16916160000001,2277.8121230358547,49,2308.8303511943677,2342.3154879999997,151.668385,1.152904,2342.3154879999997,0.0,4230,462,0,2945,0.548684,29.478213,56.37327,2,1,optimal,DONE
bmocbd.mps.gz,-32041010095048.54,0,0,-32041010095048.54,-32041010095048.54,61.542543,10.278742,-32041010095048.54,0.0,0,0,0,1,0,0,0,2,1,optimal,DONE SOLVED THROUGH LP RELAXATION
bmocbd2.mps.gz,-31953009810551.355,0,0,-31953009810551.355,-31953009810551.355,72.885119,11.718957,-31953009810551.355,0.0,0,0,0,1,0,0,0,2,1,optimal,DONE SOLVED THROUGH LP RELAXATION
bnatt400.mps.gz,0,0.0,22,0,1.0,266.984018,0.808141,1.0,0.0,87231,27074,0,4071,0.675075,2.608753,98.773228,2,1,optimal,DONE
bppc4-08.mps.gz,51.589999999999996,52.0,24,52.0,53.0,18000.000118,0.574492,53.0,0.019230769230769232,3411184,243318,0,913807,0.301933,0.665724,24.411181,2,1,timelimit,DONE
bppc8-02.mps.gz,36.0,487.0,26,487.0,507.0,0.8364779999999999,0.045195,507.0,0.0,1894,53,0,125,0.039656,0.076626,0.437959,2,1,optimal,DONE
brazil3.mps.gz,1.9999999999999858,3.8333333333333286,25,24.0,37.000000000000014,18000.000557,2.451867,37.000000000000014,0.5416666666666654,15778,3052,0,3968,2.339084,33.470207,8553.740522,2,1,timelimit,DONE
