,NAME,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
0,neos6.mps.gz,359.8024494,771.6543644000001,3667.0,9640.0,1,1,1,1,359.8024494,3667.0,359.8024494,359.8024494,359.8024494,3667.0,3667.0,3667.0
1,air05.mps.gz,57.4061712,64.3195098,523.0,722.0,1,1,1,1,57.4061712,523.0,57.4061712,57.4061712,57.4061712,523.0,523.0,523.0
2,neos8.mps.gz,16.5811546,76.091711,1.0,1.0,1,1,1,1,16.5811546,1.0,16.5811546,16.5811546,16.5811546,1.0,1.0,1.0
3,mine-166-5.mps.gz,50.761648799999996,15.7168192,2681.0,1228.0,0,1,0,0,15.7168192,1228.0,15.7168192,15.7168192,50.761648799999996,1228.0,1228.0,2681.0
4,acc-tight4.mps.gz,229.533662,139.24832279999998,1087.0,674.0,0,1,0,0,139.24832279999998,674.0,139.24832279999998,139.24832279999998,229.533662,674.0,674.0,1087.0
5,neos-885086.mps.gz,7184.3035036,215.2978572,263.0,36.0,0,1,0,0,215.2978572,36.0,215.2978572,215.2978572,7184.3035036,36.0,36.0,263.0
6,glass4.mps.gz,937.8782435999999,1189.8561067999997,652204.0,2576934.0,1,1,1,1,937.8782435999999,652204.0,937.8782435999999,937.8782435999999,937.8782435999999,652204.0,652204.0,652204.0
7,neos-5018451-chiese.mps.gz,1203.734945,2678.6193194,3511.0,4543.0,1,1,1,1,1203.734945,3511.0,1203.734945,1203.734945,1203.734945,3511.0,3511.0,3511.0
8,iis-glass-cov.mps.gz,789.9152171999999,555.1860164,24361.0,25501.0,0,0,0,0,555.1860164,24361.0,555.1860164,555.1860164,555.1860164,25501.0,25501.0,25501.0
9,eilC76-2.mps.gz,2899.1750631999994,7425.513307,7851.0,40399.0,1,1,1,1,2899.1750631999994,7851.0,2899.1750631999994,2899.1750631999994,2899.1750631999994,7851.0,7851.0,7851.0
10,dcmulti.mps.gz,2.3997976,1.3054885999999999,90.0,1425.0,0,1,0,0,1.3054885999999999,90.0,1.3054885999999999,1.3054885999999999,2.3997976,1425.0,1425.0,90.0
11,comp08-2idx.mps.gz,1227.0355282,18008.1955946,4218.0,442752.4,1,1,1,1,1227.0355282,4218.0,1227.0355282,1227.0355282,1227.0355282,4218.0,4218.0,4218.0
12,neos-5188808-nattai.mps.gz,2394.1862532,1861.4050396,11023.0,11213.0,0,1,0,0,1861.4050396,11023.0,1861.4050396,1861.4050396,2394.1862532,11213.0,11213.0,11023.0
13,prod2.mps.gz,125.5057832,86.6659962,67499.0,103438.0,0,1,0,0,86.6659962,67499.0,86.6659962,86.6659962,125.5057832,103438.0,103438.0,67499.0
14,neos-5129192-manaia.mps.gz,80.1897804,84.5276466,1.0,1.0,1,1,1,1,80.1897804,1.0,80.1897804,80.1897804,80.1897804,1.0,1.0,1.0
15,mzzv42z.mps.gz,461.63270679999994,1048.2535928000002,11.0,2656.0,1,1,1,1,461.63270679999994,11.0,461.63270679999994,461.63270679999994,461.63270679999994,11.0,11.0,11.0
16,ran14x18-disj-8.mps.gz,1780.004335,17469.100301199996,312024.0,14591597.0,1,1,1,1,1780.004335,312024.0,1780.004335,1780.004335,1780.004335,312024.0,312024.0,312024.0
17,supportcase17.mps.gz,46.593206599999995,21.048210400000002,264.0,2388.0,0,1,0,0,21.048210400000002,264.0,21.048210400000002,21.048210400000002,46.593206599999995,2388.0,2388.0,264.0
18,neos-824661.mps.gz,914.3543792,254.433148,36.0,8.0,0,1,0,0,254.433148,8.0,254.433148,254.433148,914.3543792,8.0,8.0,36.0
19,neos-4322846-ryton.mps.gz,1330.7143346,1325.3273290000002,664.0,522.0,0,1,0,0,1325.3273290000002,522.0,1325.3273290000002,1325.3273290000002,1330.7143346,522.0,522.0,664.0
20,supportcase40.mps.gz,1530.8577412000002,1596.3640775999997,8835.0,70894.0,1,1,1,1,1530.8577412000002,8835.0,1530.8577412000002,1530.8577412000002,1530.8577412000002,8835.0,8835.0,8835.0
21,qiu.mps.gz,66.1176314,41.266392999999994,10652.0,9207.0,0,1,0,0,41.266392999999994,9207.0,41.266392999999994,41.266392999999994,66.1176314,9207.0,9207.0,10652.0
22,neos-3661949-lesse.mps.gz,0.20448479999999997,0.20910039999999994,1.0,1.0,1,1,1,1,0.20448479999999997,1.0,0.20448479999999997,0.20448479999999997,0.20448479999999997,1.0,1.0,1.0
23,core2536-691.mps.gz,382.0128684,1221.2299488,893.0,1199.0,1,1,1,1,382.0128684,893.0,382.0128684,382.0128684,382.0128684,893.0,893.0,893.0
24,ab51-40-100.mps.gz,808.5358072,1519.3310086000001,1316.0,1000.0,1,1,1,1,808.5358072,1000.0,808.5358072,808.5358072,808.5358072,1316.0,1316.0,1316.0
25,ns1208400.mps.gz,248.5555066,117.67959840000002,567.0,136.0,0,1,0,0,117.67959840000002,136.0,117.67959840000002,117.67959840000002,248.5555066,136.0,136.0,567.0
