,NAME,RANDOM SEED,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PRESOLVING TIME W/O CUTS,PRESOLVING TIME W/ CUTS,TIME FIRST ROUND,TIME ROOT END,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,vars,bin_vars,int_vars,cont_vars,constr,linsetpart_constr,linsetpack_constr,linsetcov_constr,lincard_constr,lineqknap_constr,linbinpack_constr,linknaps_constr,linintknap_constr,linmixbin_constr,nonzeroes,obj_dyn,dynamism_mean,presol_vars,presol_int_vars,presol_constr
0,10teams.mps.gz,2,10.703114,11.865484,30,276,0.083092,0.156992,1.558014,3.54573,20.0,917.0,13.0,924.0,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
1,10teams.mps.gz,4,10.612878,11.812637,30,276,0.085024,0.088616,1.490672,3.482125,20.0,917.0,13.0,924.0,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
2,10teams.mps.gz,8,10.696199,11.836083,30,276,0.084062,0.143698,1.548765,3.54425,20.0,917.0,13.0,924.0,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
3,10teams.mps.gz,16,10.505375,11.912657,30,276,0.1566479999999999,0.084967,1.485573,3.461656,20.0,917.0,13.0,924.0,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
4,10teams.mps.gz,32,10.5431,12.023708,30,276,0.142738,0.087368,1.490006,3.467127,20.0,917.0,13.0,924.0,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
5,22433.mps.gz,2,2.87964,0.801551,1,5,0.059695,0.073734,0.232932,2.87961,21240.526170798898,21278.0,58.0,21471.13885990249,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
6,22433.mps.gz,4,2.885082,0.7844629999999999,1,5,0.0466979999999999,0.041552,0.20131,2.885054,21240.526170798898,21278.0,58.0,21471.13885990249,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
7,22433.mps.gz,8,2.926255,0.829934,1,5,0.088797,0.0850969999999999,0.245166,2.926213,21240.526170798898,21278.0,58.0,21471.13885990249,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
8,22433.mps.gz,16,2.877262,0.810962,1,5,0.069482,0.044825,0.2041,2.877233,21240.526170798898,21278.0,58.0,21471.13885990249,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
9,22433.mps.gz,32,2.906032,0.778063,1,5,0.040454,0.070016,0.2290309999999999,2.906003,21240.526170798898,21278.0,58.0,21471.13885990249,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
10,23588.mps.gz,2,4.955615,2.220951,576,981,0.057656,0.0453639999999999,0.17225,2.063721,7649.866133822501,7660.0,34.0,7765.0,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.0266826,5.908082938168931,0.0,4.919980925828125
