NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20.0,917.0,13,923.9999999999999,924.0,10.505375,0.081347,924.0,0.0,261,49,0,30,0.084967,1.485573,3.461656,16,1,optimal,DONE
22433.mps.gz,21240.526170798898,21278.0,58,21471.13885990249,21477.0,2.877262,0.065209,21477.0,0.0,3167,6,0,1,0.044825,0.2041,2.877233,16,1,optimal,DONE
23588.mps.gz,7649.866133822501,7660.0,34,7765.0,8090.0,5.095594,0.084662,8090.0,0.0,4400,145,0,576,0.080593,0.20937,2.157763,16,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336.0,8.5,13,9.0,9.0,305.662712,5.425436,9.0,0.0,12402,101,0,46,5.479703,22.117564,160.883405,16,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132.0,3.0,12,3.0,3.0,816.819331,5.409044,3.0,0.0,13215,324,0,201,5.460195,23.117007,185.338525,16,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967.0,11.5,11,12.0,12.0,73.054656,5.27303,12.0,0.0,13035,153,0,1,5.321815,18.315525,73.054487,16,1,optimal,DONE
30n20b8.mps.gz,107.09839101758216,121.76599018734493,90,151.38060569174547,302.0,180.190327,24.370967,302.0,0.0,16344,1105,0,1617,24.219188,26.164493,156.891645,16,1,optimal,DONE
CMS750_4.mps.gz,250.0,250.0,22,250.0,260.0,18000.202311,4.89937,260.0,0.04,155394,1740,0,1,4.663569,5.541036,18000.201941,16,1,timelimit,DONE
Test3.mps.gz,2241736.0000091013,2671192.2167286817,32,2673520.2113535767,2673520.2113535767,8.172038,2.465592,2673520.2113535767,0.0,4993,9,0,1,2.829849,4.757535,8.171188,16,1,optimal,DONE
ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,810.304308,8.145419,-10420305975.0,0.0,10723,92,0,1316,8.214973,0,0,16,1,optimal,DONE
ab67-40-100.mps.gz,-4706401663115.0,-4706401663115.0,1,-4706401663115.0,-11186253442.0,314.39939,8.1763,-11186253442.0,0.0,10294,4,0,73,8.244561,19.266292,19.266292,16,1,optimal,DONE
ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,398.498496,7.369585,-11186281442.0,0.0,10119,1,0,89,7.417519,0,0,16,1,optimal,DONE
ab71-20-100.mps.gz,-2595744808603.0,-10885807586.685564,2,-2595744808603.0,-10420305975.0,200.124283,2.939418,-10420305975.0,0.0,5868,79,0,699,2.9574949999999998,6.282234,9.153571,16,1,optimal,DONE
ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,668.906042,7.7221,-11186620442.0,0.0,9879,0,0,152,7.774789,0,0,16,1,optimal,DONE
acc-tight2.mps.gz,0,0.0,11,0,0.0,19.540621,0.104935,0.0,0.0,2713,126,0,7,0.11061,5.384242,17.781459,16,1,optimal,DONE
acc-tight4.mps.gz,0,0.0,11,0,0.0,229.348614,0.927963,0.0,0.0,3803,217,0,1087,0.935684,11.593893,32.014838,16,1,optimal,DONE
acc-tight5.mps.gz,0,0.0,22,0,0.0,289.595246,1.90825,0.0,0.0,12369,670,0,733,1.776736,5.09676,190.405279,16,1,optimal,DONE
aflow30a.mps.gz,-32161.0,1006.2110928412112,60,1103.8298423870674,1158.0,32.080013,0.091027,1158.0,0.0,44341,3041,0,1923,0.083974,0.140237,11.591228,16,1,optimal,DONE
aflow40b.mps.gz,-66091.0,1007.5518896388348,68,1104.8952792858,1168.0,949.812771,0.383694,1168.0,0.0,510004,23397,0,34552,0.281367,0.47861099999999995,400.830227,16,1,optimal,DONE
air03.mps.gz,-513715782.0,338889.25,19,340033.75,340160.0,2.940051,0.834306,340160.0,0.0,124,33,0,1,0.866958,1.678046,2.939987,16,1,optimal,DONE
air04.mps.gz,-83210.0,55558.52412719808,24,55749.079647408835,56137.0,70.560726,7.128925,56137.0,0.0,764,103,0,134,7.155658,12.773924,25.267137,16,1,optimal,DONE
air05.mps.gz,-40465.0,25910.38419520768,4,25966.549980305383,26374.0,58.97836,0.560187,26374.0,0.0,466,57,0,523,0.5808949999999999,2.890926,9.408521,16,1,optimal,DONE
aligninq.mps.gz,2654.736802205333,2659.7265675585027,21,2678.210564395061,2713.0,44.97826,0.124428,2713.0,0.0,6407,438,0,979,0.091393,0.45247099999999996,28.581565,16,1,optimal,DONE
app1-1.mps.gz,-23.0,-21.62335335868207,113,-3.0,-3.0,8.135005,0.49182299999999995,-3.0,0.0,6524,84,0,12,0.47745499999999996,0.578427,8.11303,16,1,optimal,DONE
app1-2.mps.gz,-266.0,-262.3455439392425,186,-54.0,-41.0,1694.185667,10.873992,-41.0,0.0,220430,16922,0,40804,10.361311,21.661235,402.058277,16,1,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.43838099999999997,0.19022599999999998,19294.25,0.0,997,0,0,1,0.19697499999999998,0,0,16,1,optimal,DONE
app2-2.mps.gz,212040.35714285713,212040.35714285713,59,212040.35714285713,212040.5,1.593246,0.09081499999999999,212040.5,0.0,1110,0,0,1,0.053427999999999996,0.08423699999999999,0.5854969999999999,16,1,optimal,DONE
app3.mps.gz,-31829377681.21209,5627880.206645966,78,5743108.628356934,5751714.328903198,5.569592,0.076024,5751714.328903198,0.0,14602,256,0,3,0.07190099999999999,0.134245,5.531443,16,1,optimal,DONE
arki001.mps.gz,1273480.9000000001,7579621.852068745,28,7580142.415401723,7580813.065371048,18000.149478,0.109024,7580813.065371048,1.0302608450712222e-05,103054966,792219,0,2267610,0.099216,0.290173,68.592679,16,1,timelimit,DONE
atlanta-ip.mps.gz,3.00157865668,81.25524491414605,41,81.7538147737422,91.00968519061,18000.0013,2.594321,91.00968519061,0.024331690159453242,211720,9711,0,51056,2.338776,37.30477,1551.014677,16,1,timelimit,DONE
australia-abs-cta.mps.gz,104.0290678921603,44.99468627530809,31,105.77309319632383,106.90466814284001,359.90571,0.821511,106.90466814284001,0.0,27657,3185,0,1849,0.6451359999999999,1.8365239999999998,198.792197,16,1,optimal,DONE
bab5.mps.gz,-1775422.122400002,-114930.53533333333,48,-107477.29309999998,-106411.8401,17864.879781,6.538852,-106411.8401,0.0,1086362,100338,0,204088,6.274687,18.640855,507.398552,16,1,optimal,DONE
bc.mps.gz,4.289050631437719,4.5472317618938405,103,5.185645626298372,7.0,597.099893,5.170446,7.0,0.0,47279,1909,0,2375,5.219914,8.120425,203.000569,16,1,optimal,DONE
bc1.mps.gz,2.1887763488011416,2.192710148043759,97,2.6957328917021495,3.338362547646319,175.384966,3.385003,3.338362547646319,0.0,14922,589,0,1691,3.294772,5.257701,57.770855,16,1,optimal,DONE
beasleyC1.mps.gz,25.0,61.0,140,83.86398438402362,85.0,6.229983,0.045637,85.0,0.0,5379,579,0,1,0.051541,0.081191,6.229916,16,1,optimal,DONE
