NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
bc1.mps.gz,2.1887763488011416,0,0,2.188776348801141,3.338362547646319,657.817055,4.05626,3.338362547646319,0.0,1337,0,0,17530,4.101721,0,0,4,0,optimal,DONE
beasleyC1.mps.gz,25.0,0,0,52.0,85.0,12.946795,0.047646,85.0,0.0,1166,0,0,1752,0.053606999999999995,0,0,4,0,optimal,DONE
beavma.mps.gz,128906.80000000002,0,0,310231.25895056385,383285.00000000006,8.968519,0.048308,383285.00000000006,0.0,531,0,0,5697,0.037483999999999996,0,0,4,0,optimal,DONE
biella1.mps.gz,3060037.430763108,0,0,3060037.4307631077,3065005.7800000003,2185.445459,1.772653,3065005.7800000003,0.0,2133,0,0,10432,1.553411,0,0,4,0,optimal,DONE
bienst1.mps.gz,11.724137931034484,0,0,27.0,46.75,68.857676,0.024392999999999998,46.75,0.0,1040,0,0,11113,0.022657,0,0,4,0,optimal,DONE
bienst2.mps.gz,11.724137931034482,0,0,16.71428571428571,54.6,269.700171,0.028367,54.6,0.0,1040,0,0,102409,0.026817999999999998,0,0,4,0,optimal,DONE
binkar10_1.mps.gz,-16000599.24000705,0,0,6637.188026943215,6742.200023998971,6590.417298,0.083203,6742.200023998971,0.0,1619,0,0,4442017,0.068741,0,0,4,0,optimal,DONE
blend2.mps.gz,7.043999070402349,0,0,7.043999070402349,7.598985000000001,1.547304,0.049512,7.598985000000001,0.0,186,0,0,1041,0.051476999999999995,0,0,4,0,optimal,DONE
bley_xl1.mps.gz,80.0,0,0,177.24872565800993,190.0,58.593808,12.487827,190.0,0.0,8208,0,0,150,12.907125,0,0,4,0,optimal,DONE
blp-ir98.mps.gz,96.16916160000001,0,0,2276.9237984881634,2342.315488,1708.27704,0.9779279999999999,2342.315488,0.0,950,0,0,247091,0.540955,0,0,4,0,optimal,DONE
bmocbd.mps.gz,-32041010095048.54,0,0,-32041010095048.54,-32041010095048.54,72.573075,11.393830000000001,-32041010095048.54,0.0,0,0,0,1,0,0,0,4,0,optimal,DONE SOLVED THROUGH LP RELAXATION
bmocbd2.mps.gz,-31953009810551.355,0,0,-31953009810551.355,-31953009810551.355,38.656014,9.404429,-31953009810551.355,0.0,0,0,0,1,0,0,0,4,0,optimal,DONE SOLVED THROUGH LP RELAXATION
bnatt400.mps.gz,0,0,0,0,1.0,127.809331,0.689141,1.0,0.0,3895,0,0,6778,0.70192,0,0,4,0,optimal,DONE
bppc4-08.mps.gz,51.589999999999996,0,0,52.0,53.0,18000.000127,0.59144,53.0,0.019230769230769232,222,0,0,3379145,0.30613799999999997,0,0,4,0,timelimit,DONE
bppc8-02.mps.gz,36.0,0,0,487.0,507.0,0.150151,0.038821,507.0,0.0,102,0,0,177,0.032341,0,0,4,0,optimal,DONE
brazil3.mps.gz,1.9999999999999858,0,0,2.0,37.00000000000011,18000.000905,1.885003,37.00000000000011,17.499999999999922,2429,0,0,10001,1.955998,0,0,4,0,timelimit,DONE
